Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	3960.000000000	4019.999979167	6203.774	7381.132	60.0000	1177.358	-65.33	Insects
2	Spectrogram 1	1	3960.263043631	3960.466690314	1607.547	2852.830	0.2036	1245.283	-69.63	Birds
3	Spectrogram 1	1	3960.958836462	3961.374615105	2286.792	4709.434	0.4158	2422.642	-65.04	Birds
4	Spectrogram 1	1	3961.484923725	3964.276580328	1584.906	2422.642	2.7917	837.736	-72.73	Birds
5	Spectrogram 1	1	3961.544320674	3961.815849584	3554.717	5637.736	0.2715	2083.019	-72.57	Birds
6	Spectrogram 1	1	3962.214657670	3962.655892148	3215.094	5524.528	0.4412	2309.434	-71.85	Birds
7	Spectrogram 1	1	3963.351684979	3963.742007787	2060.377	4777.358	0.3903	2716.981	-65.79	Birds
8	Spectrogram 1	1	3964.599020908	3965.133593449	2513.208	5773.585	0.5346	3260.377	-70.03	Birds
9	Spectrogram 1	1	3965.413607637	3965.880297951	3645.283	4981.132	0.4667	1335.849	-73.20	Birds
10	Spectrogram 1	1	3965.964355186	3966.464986613	5637.736	6384.906	0.5006	747.170	-65.83	Birds
11	Spectrogram 1	1	3967.483220024	3967.975366173	5750.943	6679.245	0.4921	928.302	-60.64	Birds
12	Spectrogram 1	1	3968.722070675	3969.299069608	6045.283	6815.094	0.5770	769.811	-57.71	Birds
13	Spectrogram 1	1	3970.156082729	3970.588831929	6067.925	7041.509	0.4327	973.585	-57.11	Birds
14	Spectrogram 1	1	3967.118353052	3967.568072809	1901.887	2807.547	0.4497	905.660	-65.98	Birds
15	Spectrogram 1	1	3968.611762055	3969.095422926	1856.604	2739.623	0.4837	883.019	-66.30	Birds
16	Spectrogram 1	1	3970.716111105	3971.055522243	2264.151	4188.679	0.3394	1924.528	-63.90	Birds
17	Spectrogram 1	1	3967.941425060	3968.238409805	1403.774	3215.094	0.2970	1811.321	-72.14	Birds
18	Spectrogram 1	1	3970.198509121	3970.478523310	1788.679	3011.321	0.2800	1222.642	-72.18	Birds
19	Spectrogram 1	1	3969.460289898	3969.604539631	1358.491	2332.075	0.1442	973.585	-69.89	Birds
20	Spectrogram 1	1	3967.746263656	3967.975366173	1177.358	2196.226	0.2291	1018.868	-73.87	Birds
21	Spectrogram 1	1	3966.965618040	3967.305029177	1177.358	1630.189	0.3394	452.830	-73.39	Birds
22	Spectrogram 1	1	3971.072492799	3971.233713090	1766.038	2535.849	0.1612	769.811	-68.89	Birds
23	Spectrogram 1	1	3971.726405269	3971.836713889	1720.755	2286.792	0.1103	566.038	-74.73	Birds
24	Spectrogram 1	1	3973.779842649	3974.229562405	2422.642	4890.566	0.4497	2467.925	-61.13	Birds
25	Spectrogram 1	1	3973.414975676	3973.711960421	4641.509	9396.226	0.2970	4754.717	-67.97	Birds
26	Spectrogram 1	1	3973.567710688	3973.932577660	1607.547	2671.698	0.3649	1064.151	-70.53	Birds
27	Spectrogram 1	1	3974.339871025	3974.857473009	3373.585	5479.245	0.5176	2105.660	-73.43	Birds
28	Spectrogram 1	1	3977.134221855	3977.507574106	2467.925	4754.717	0.3734	2286.792	-65.68	Birds
29	Spectrogram 1	1	3978.373072506	3978.551263352	1222.642	2264.151	0.1782	1041.509	-73.68	Birds
30	Spectrogram 1	1	3978.610660301	3978.916130325	1766.038	2807.547	0.3055	1041.509	-73.60	Birds
31	Spectrogram 1	1	3979.289482576	3979.586467321	1947.170	2898.113	0.2970	950.943	-67.41	Birds
32	Spectrogram 1	1	3979.102806450	3979.340394246	1516.981	2218.868	0.2376	701.887	-72.32	Birds
33	Spectrogram 1	1	3979.620408434	3979.857996230	3849.057	5207.547	0.2376	1358.491	-72.72	Birds
34	Spectrogram 1	1	3979.391305917	3979.866481509	5524.528	6000.000	0.4752	475.472	-66.16	Birds
35	Spectrogram 1	1	3979.985275407	3980.248319038	1200.000	2649.057	0.2630	1449.057	-71.94	Birds
36	Spectrogram 1	1	3980.553789061	3980.986538261	1675.472	3011.321	0.4327	1335.849	-70.54	Birds
37	Spectrogram 1	1	3980.384083493	3980.502877391	1245.283	1720.755	0.1188	475.472	-70.43	Birds
38	Spectrogram 1	1	3980.961082426	3981.385346347	2286.792	4777.358	0.4243	2490.566	-65.57	Birds
39	Spectrogram 1	1	3980.774406301	3981.283523006	5864.151	6611.321	0.5091	747.170	-61.08	Birds
40	Spectrogram 1	1	3981.631550391	3982.072784869	2830.189	5592.453	0.4412	2762.264	-72.04	Birds
41	Spectrogram 1	1	3981.538212328	3981.673976783	1245.283	2558.491	0.1358	1313.208	-72.93	Birds
42	Spectrogram 1	1	3981.962476250	3982.530989905	6000.000	6837.736	0.5685	837.736	-58.62	Birds
43	Spectrogram 1	1	3983.345576634	3983.837722782	6067.925	7154.717	0.4921	1086.792	-58.42	Birds
44	Spectrogram 1	1	3983.074047724	3983.455885253	2286.792	4528.302	0.3818	2241.509	-66.90	Birds
45	Spectrogram 1	1	3983.837722782	3984.253501425	1947.170	2920.755	0.4158	973.585	-68.94	Birds
