Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	9000.000000000	9059.777962593	7634.286	9371.429	59.7780	1737.143	-70.46	Insects
2	Spectrogram 1	1	9026.752997186	9039.296933626	3657.143	4114.286	12.5439	457.143	-58.93	Birds
3	Spectrogram 1	1	9000.277520718	9009.657720976	3382.857	3885.714	9.3802	502.857	-62.37	Birds
4	Spectrogram 1	1	9039.463446057	9051.008307913	3428.571	3931.429	11.5449	502.857	-66.75	Birds
5	Spectrogram 1	1	9055.115614535	9059.999979167	3611.429	4022.857	4.8844	411.429	-59.19	Birds
6	Spectrogram 1	1	9001.217895186	9001.640430251	657.005	1198.068	0.4225	541.063	-57.51	Birds
7	Spectrogram 1	1	9004.324770661	9004.672740714	502.415	1275.362	0.3480	772.947	-56.94	Birds
8	Spectrogram 1	1	9007.978456219	9008.388563782	463.768	1236.715	0.4101	772.947	-58.65	Birds
9	Spectrogram 1	1	9010.985911678	9011.371164237	425.121	1198.068	0.3853	772.947	-58.57	Birds
10	Spectrogram 1	1	9002.025682809	9002.435790372	4405.797	5140.097	0.4101	734.300	-72.54	Birds
11	Spectrogram 1	1	9003.815243083	9004.287488155	3516.908	5526.570	0.4722	2009.662	-61.69	Birds
12	Spectrogram 1	1	9004.362053166	9004.647885710	4483.092	5681.159	0.2858	1198.068	-65.36	Birds
13	Spectrogram 1	1	9004.585748201	9005.132558284	3632.850	4869.565	0.5468	1236.715	-60.21	Birds
14	Spectrogram 1	1	9005.331398315	9006.176468444	4057.971	5565.217	0.8451	1507.246	-67.37	Birds
15	Spectrogram 1	1	9000.764518665	9001.063296075	1830.962	2049.585	0.2988	218.622	-69.31	Birds
16	Spectrogram 1	1	9002.574758264	9002.732934539	2240.879	2678.124	0.1582	437.245	-74.34	Birds
17	Spectrogram 1	1	9004.226821586	9004.578324421	1776.307	2268.207	0.3515	491.900	-74.06	Birds
18	Spectrogram 1	1	9004.973765110	9005.421931224	1967.601	2842.091	0.4482	874.490	-75.56	Birds
19	Spectrogram 1	1	9005.747071346	9006.124936893	1748.979	2377.518	0.3779	628.539	-74.07	Birds
20	Spectrogram 1	1	9010.301758176	9010.574172873	2295.535	5875.477	0.2724	3579.942	-68.16	Birds
