Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	29340.186676125	29341.493409003	5074.286	5828.571	1.3067	754.286	-58.10	Amphibians
2	Spectrogram 1	1	29342.070407936	29343.538361104	5211.429	5737.143	1.4680	525.714	-57.38	Amphibians
3	Spectrogram 1	1	29344.649932579	29345.719077660	5165.714	5737.143	1.0691	571.429	-56.70	Amphibians
4	Spectrogram 1	1	29346.262135480	29347.645235864	5028.571	5760.000	1.3831	731.429	-58.12	Amphibians
5	Spectrogram 1	1	29348.341028695	29349.656246851	5005.714	5828.571	1.3152	822.857	-58.14	Amphibians
6	Spectrogram 1	1	29340.322440580	29341.366129827	4662.857	5005.714	1.0437	342.857	-64.93	Amphibians
7	Spectrogram 1	1	29342.358907403	29343.911713355	4685.714	5028.571	1.5528	342.857	-65.31	Amphibians
8	Spectrogram 1	1	29344.361433112	29347.356736397	4617.143	4960.000	2.9953	342.857	-65.41	Amphibians
9	Spectrogram 1	1	29347.577353636	29347.874338381	4685.714	5005.714	0.2970	320.000	-67.08	Amphibians
10	Spectrogram 1	1	29340.000000000	29399.999979167	5897.143	6994.286	60.0000	1097.143	-56.76	Insects
11	Spectrogram 1	1	29348.502858479	29350.123546659	4640.000	4960.000	1.6207	320.000	-65.15	Amphibians
12	Spectrogram 1	1	29350.462957796	29351.667867333	5142.857	5760.000	1.2049	617.143	-57.19	Amphibians
13	Spectrogram 1	1	29350.870251160	29352.397601277	4685.714	4982.857	1.5274	297.143	-65.57	Amphibians
14	Spectrogram 1	1	29352.346689607	29353.186732171	5028.571	5828.571	0.8400	800.000	-58.08	Amphibians
15	Spectrogram 1	1	29353.263099677	29354.934699527	4731.429	5005.714	1.6716	274.286	-64.33	Amphibians
16	Spectrogram 1	1	29353.780701661	29354.977125919	5028.571	5691.429	1.1964	662.857	-57.69	Amphibians
17	Spectrogram 1	1	29355.398856942	29357.613514612	4745.098	5000.000	2.2147	254.902	-64.29	Amphibians
18	Spectrogram 1	1	29356.069193938	29357.681396840	5176.471	5764.706	1.6122	588.235	-57.14	Amphibians
19	Spectrogram 1	1	29357.817161294	29361.287640171	4725.490	5019.608	3.4705	294.118	-62.66	Amphibians
20	Spectrogram 1	1	29358.283851608	29360.481538721	5058.824	5803.922	2.1977	745.098	-58.43	Amphibians
21	Spectrogram 1	1	29361.935447204	29363.386429815	4666.667	5156.863	1.4510	490.196	-61.64	Amphibians
22	Spectrogram 1	1	29364.014340419	29365.643513877	4666.667	5235.294	1.6292	568.627	-62.76	Amphibians
23	Spectrogram 1	1	29365.989919797	29368.000930785	4666.667	5137.255	2.0110	470.588	-62.26	Amphibians
24	Spectrogram 1	1	29368.713694173	29372.710260312	4549.020	5254.902	3.9966	705.882	-62.09	Amphibians
25	Spectrogram 1	1	29369.782839255	29370.588940705	5215.686	5784.314	0.8061	568.627	-57.74	Amphibians
26	Spectrogram 1	1	29373.429207751	29375.805085711	4490.196	5019.608	2.3759	529.412	-61.37	Amphibians
27	Spectrogram 1	1	29373.276472739	29374.014691963	5215.686	5666.667	0.7382	450.980	-58.18	Amphibians
28	Spectrogram 1	1	29374.769881743	29375.228086778	5137.255	5666.667	0.4582	529.412	-61.50	Amphibians
29	Spectrogram 1	1	29376.025702950	29377.162730259	5098.039	5725.490	1.1370	627.451	-60.85	Amphibians
30	Spectrogram 1	1	29375.822056268	29378.783418439	4588.235	5137.255	2.9614	549.020	-63.45	Amphibians
31	Spectrogram 1	1	29379.860137431	29382.151162607	4475.884	5209.003	2.2910	733.119	-62.28	Amphibians
32	Spectrogram 1	1	29382.549970693	29383.805791900	4533.762	5324.759	1.2558	790.997	-60.56	Amphibians
33	Spectrogram 1	1	29384.193929266	29384.855780984	4418.006	5228.296	0.6619	810.289	-62.16	Amphibians
34	Spectrogram 1	1	29385.118824615	29386.391616379	4533.762	5382.637	1.2728	848.875	-62.00	Amphibians
35	Spectrogram 1	1	29386.688601124	29387.749260928	4553.055	5382.637	1.0607	829.582	-61.58	Amphibians
36	Spectrogram 1	1	29388.249892355	29390.634255593	4418.006	5305.466	2.3844	887.460	-61.78	Amphibians
37	Spectrogram 1	1	29390.982298162	29395.623745462	4475.884	5266.881	4.6414	790.997	-62.26	Amphibians
38	Spectrogram 1	1	29396.226200230	29399.993663852	4688.103	5016.077	3.7675	327.974	-64.80	Amphibians
39	Spectrogram 1	1	29340.398808086	29340.873983678	868.167	3028.939	0.4752	2160.772	-61.43	Amphibians
40	Spectrogram 1	1	29341.586747066	29341.739482078	964.630	2565.916	0.1527	1601.286	-59.41	Amphibians
41	Spectrogram 1	1	29341.951614038	29342.053437380	983.923	3163.987	0.1018	2180.064	-59.59	Amphibians
42	Spectrogram 1	1	29342.384363238	29342.452245466	983.923	3125.402	0.0679	2141.479	-57.98	Amphibians
43	Spectrogram 1	1	29342.859538830	29342.935906336	1061.093	2392.283	0.0764	1331.190	-55.63	Amphibians
44	Spectrogram 1	1	29343.037729677	29343.181979410	887.460	2971.061	0.1442	2083.601	-60.44	Amphibians
45	Spectrogram 1	1	29343.351684979	29343.478964155	983.923	2257.235	0.1273	1273.312	-69.65	Amphibians
46	Spectrogram 1	1	29343.911713355	29344.072933645	1234.727	3299.035	0.1612	2064.309	-61.06	Amphibians
47	Spectrogram 1	1	29344.183242265	29344.386888947	868.167	3414.791	0.2036	2546.624	-61.73	Amphibians
48	Spectrogram 1	1	29344.794182312	29344.963887880	1118.971	3202.572	0.1697	2083.601	-61.21	Amphibians
49	Spectrogram 1	1	29345.685136547	29346.813678578	945.338	3048.232	1.1285	2102.894	-62.71	Amphibians
50	Spectrogram 1	1	29347.730088648	29348.145867291	906.752	2971.061	0.4158	2064.309	-61.73	Amphibians
51	Spectrogram 1	1	29348.580036717	29348.732771729	1022.508	2855.305	0.1527	1832.797	-60.23	Amphibians
52	Spectrogram 1	1	29349.394623446	29349.657667077	713.826	3048.232	0.2630	2334.405	-60.41	Amphibians
53	Spectrogram 1	1	29350.582562426	29351.431090269	926.045	3241.158	0.8485	2315.113	-62.63	Amphibians
54	Spectrogram 1	1	29352.109912543	29352.364470896	829.582	3241.158	0.2546	2411.576	-60.18	Amphibians
55	Spectrogram 1	1	29353.288338992	29353.424103447	829.582	3260.450	0.1358	2430.868	-57.67	Amphibians
56	Spectrogram 1	1	29354.060499329	29354.230204898	1292.605	3183.280	0.1697	1890.675	-60.78	Amphibians
57	Spectrogram 1	1	29354.705380489	29354.764777438	1022.508	3279.743	0.0594	2257.235	-57.49	Amphibians
58	Spectrogram 1	1	29355.070247462	29355.918775305	926.045	3241.158	0.8485	2315.113	-63.95	Amphibians
59	Spectrogram 1	1	29356.309098112	29357.208537626	906.752	3144.695	0.8994	2237.942	-62.29	Amphibians
60	Spectrogram 1	1	29358.650123558	29358.785888013	1022.508	2546.624	0.1358	1524.116	-57.71	Amphibians
61	Spectrogram 1	1	29359.159240263	29359.388342781	810.289	3125.402	0.2291	2315.113	-63.02	Amphibians
62	Spectrogram 1	1	29359.719268640	29360.381120357	790.997	3260.450	0.6619	2469.453	-62.22	Amphibians
63	Spectrogram 1	1	29361.034486796	29361.721794349	945.338	2951.768	0.6873	2006.431	-60.73	Amphibians
64	Spectrogram 1	1	29362.553351635	29363.062468340	829.582	3125.402	0.5091	2295.820	-61.57	Amphibians
65	Spectrogram 1	1	29363.944937297	29366.235962472	1022.508	3723.473	2.2910	2700.965	-63.58	Amphibians
66	Spectrogram 1	1	29367.244698602	29368.542946201	945.338	3086.817	1.2982	2141.479	-62.43	Amphibians
67	Spectrogram 1	1	29369.145400970	29369.586635448	1003.215	3009.646	0.4412	2006.431	-60.02	Amphibians
68	Spectrogram 1	1	29370.036355204	29370.172119659	964.630	2720.257	0.1358	1755.627	-58.29	Amphibians
69	Spectrogram 1	1	29370.553957189	29370.732148036	1138.264	3144.695	0.1782	2006.431	-60.90	Amphibians
70	Spectrogram 1	1	29371.139441400	29371.266720577	945.338	3125.402	0.1273	2180.064	-61.27	Amphibians
71	Spectrogram 1	1	29371.903116459	29372.531027062	926.045	2990.354	0.6279	2064.309	-60.91	Amphibians
72	Spectrogram 1	1	29373.065599603	29374.160200520	945.338	3028.939	1.0946	2083.601	-61.95	Amphibians
73	Spectrogram 1	1	29375.207873193	29375.700019342	964.630	3202.572	0.4921	2237.942	-60.76	Amphibians
74	Spectrogram 1	1	29374.792094550	29374.885432613	964.630	2508.039	0.0933	1543.408	-55.76	Amphibians
75	Spectrogram 1	1	29376.234591883	29376.752193867	1061.093	3144.695	0.5176	2083.601	-61.00	Amphibians
76	Spectrogram 1	1	29377.456471976	29377.600721709	926.045	2874.598	0.1442	1948.553	-55.92	Amphibians
77	Spectrogram 1	1	29378.483190666	29378.601984564	1157.556	3183.280	0.1188	2025.723	-59.46	Amphibians
78	Spectrogram 1	1	29378.949880980	29379.238380446	868.167	2913.183	0.2885	2045.016	-59.14	Amphibians
79	Spectrogram 1	1	29379.730526595	29380.222672744	868.167	3125.402	0.4921	2257.235	-61.01	Amphibians
80	Spectrogram 1	1	29381.156053371	29381.631228963	868.167	2874.598	0.4752	2006.431	-61.20	Amphibians
81	Spectrogram 1	1	29382.020524518	29382.495700110	868.167	2932.476	0.4752	2064.309	-60.92	Amphibians
82	Spectrogram 1	1	29383.463021851	29383.734550760	868.167	2836.013	0.2715	1967.846	-59.66	Amphibians
83	Spectrogram 1	1	29384.489740540	29384.795210564	790.997	3067.524	0.3055	2276.527	-60.93	Amphibians
84	Spectrogram 1	1	29385.431606446	29386.084972885	868.167	2990.354	0.6534	2122.186	-61.82	Amphibians
85	Spectrogram 1	1	29386.975927120	29387.459587990	848.875	2874.598	0.4837	2025.723	-61.66	Amphibians
86	Spectrogram 1	1	29388.038007117	29388.139830458	1041.801	2450.161	0.1018	1408.360	-57.29	Amphibians
87	Spectrogram 1	1	29388.810167454	29389.336254716	906.752	3144.695	0.5261	2237.942	-61.57	Amphibians
88	Spectrogram 1	1	29389.582327791	29389.904768371	771.704	3009.646	0.3224	2237.942	-61.91	Amphibians
89	Spectrogram 1	1	29391.321809868	29391.584853500	848.875	2990.354	0.2630	2141.479	-59.41	Amphibians
90	Spectrogram 1	1	29392.372725503	29392.508489958	887.460	3144.695	0.1358	2257.235	-61.04	Amphibians
91	Spectrogram 1	1	29393.009121385	29393.772796444	848.875	2951.768	0.7637	2102.894	-61.36	Amphibians
92	Spectrogram 1	1	29394.315854263	29394.604353730	868.167	2990.354	0.2885	2122.186	-60.25	Amphibians
93	Spectrogram 1	1	29395.223779055	29396.242012466	945.338	3067.524	1.0182	2122.186	-62.66	Amphibians
94	Spectrogram 1	1	29396.963261133	29397.455407281	983.923	2913.183	0.4921	1929.260	-60.61	Amphibians
95	Spectrogram 1	1	29398.066347328	29398.397273187	829.582	2951.768	0.3309	2122.186	-59.98	Amphibians
96	Spectrogram 1	1	29399.101551296	29399.466418269	790.997	2932.476	0.3649	2141.479	-61.11	Amphibians
97	Spectrogram 1	1	29399.890682190	29399.999979167	1022.508	2971.061	0.1093	1948.553	-60.03	Amphibians
98	Spectrogram 1	1	29394.010384240	29395.121955714	2218.650	4109.325	1.1116	1890.675	-65.96	Birds
99	Spectrogram 1	1	29398.286964567	29399.008213234	2372.990	4032.154	0.7212	1659.164	-68.21	Birds
100	Spectrogram 1	1	29340.042426392	29399.999979167	3183.280	3742.765	59.9576	559.486	-72.92	Amphibians
