Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	33180.000000000	33239.999979167	2521.212	2909.091	60.0000	387.879	-72.20	Amphibians
2	Spectrogram 1	1	33180.000000000	33239.999979167	8339.394	9696.970	60.0000	1357.576	-63.53	Insects
3	Spectrogram 1	1	33180.000000000	33239.999979167	5042.424	5284.848	60.0000	242.424	-64.72	Amphibians
4	Spectrogram 1	1	33195.562000637	33195.714735649	1163.636	3200.000	0.1527	2036.364	-64.68	Amphibians
5	Spectrogram 1	1	33193.440681030	33193.610386598	1115.152	3200.000	0.1697	2084.848	-65.44	Amphibians
6	Spectrogram 1	1	33191.777566458	33191.913330913	1018.182	3200.000	0.1358	2181.818	-65.54	Amphibians
7	Spectrogram 1	1	33190.199304670	33190.402951353	1163.636	3248.485	0.2036	2084.848	-66.22	Amphibians
8	Spectrogram 1	1	33188.621042883	33188.841660122	1890.909	3151.515	0.2206	1260.606	-69.68	Amphibians
9	Spectrogram 1	1	33187.297339448	33187.484015573	1260.606	3151.515	0.1867	1890.909	-66.92	Amphibians
10	Spectrogram 1	1	33201.027905178	33201.231551860	1309.091	3248.485	0.2036	1939.394	-65.67	Amphibians
11	Spectrogram 1	1	33202.911636989	33203.149224785	1212.121	3248.485	0.2376	2036.364	-68.28	Amphibians
12	Spectrogram 1	1	33211.117180031	33211.252944486	1551.515	3490.909	0.1358	1939.394	-65.89	Amphibians
13	Spectrogram 1	1	33200.785151245	33200.920915700	8872.727	15030.303	0.1358	6157.576	-68.51	Birds
14	Spectrogram 1	1	33201.141532939	33201.243356280	8872.727	15127.273	0.1018	6254.545	-68.98	Birds
15	Spectrogram 1	1	33180.000000000	33239.999979167	6109.091	7078.788	60.0000	969.697	-66.63	Unknown
