Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	19500.000000000	19500.343414367	1304.275	2278.733	0.3434	974.458	-64.94	Birds
2	Spectrogram 1	1	19500.333602528	19500.578898505	1319.266	2233.758	0.2453	914.491	-63.96	Birds
3	Spectrogram 1	1	19500.569086666	19500.794758965	1274.291	2128.816	0.2257	854.525	-65.18	Birds
4	Spectrogram 1	1	19500.755511608	19500.971372068	1364.241	2098.833	0.2159	734.591	-65.30	Birds
5	Spectrogram 1	1	19500.971372068	19501.197044367	1304.275	2188.783	0.2257	884.508	-64.55	Birds
6	Spectrogram 1	1	19500.333602528	19500.853629999	644.642	944.475	0.5200	299.833	-60.02	Birds
7	Spectrogram 1	1	19501.677824481	19501.883873101	599.667	914.491	0.2060	314.825	-62.58	Birds
8	Spectrogram 1	1	19502.070298044	19502.551078158	539.700	944.475	0.4808	404.775	-66.31	Birds
9	Spectrogram 1	1	19502.865057009	19503.100541146	584.675	1034.425	0.2355	449.750	-65.92	Birds
10	Spectrogram 1	1	19503.208471376	19503.443955514	599.667	959.466	0.2355	359.800	-66.05	Birds
11	Spectrogram 1	1	19503.640192295	19503.816805398	659.633	1034.425	0.1766	374.792	-63.65	Birds
12	Spectrogram 1	1	19505.219898385	19505.376887811	554.692	1409.216	0.1570	854.525	-63.32	Birds
13	Spectrogram 1	1	19505.788985051	19505.975409994	479.733	974.458	0.1864	494.725	-63.39	Birds
14	Spectrogram 1	1	19506.171646775	19506.338448039	599.667	974.458	0.1668	374.792	-66.29	Birds
15	Spectrogram 1	1	19506.583744016	19506.770168958	554.692	1049.416	0.1864	494.725	-64.32	Birds
16	Spectrogram 1	1	19505.877291603	19506.044092867	1873.958	2413.658	0.1668	539.700	-65.28	Birds
17	Spectrogram 1	1	19506.063716545	19506.210894131	1799.000	2368.683	0.1472	569.683	-64.18	Birds
18	Spectrogram 1	1	19506.240329649	19506.397319074	1784.008	2533.591	0.1570	749.583	-61.74	Birds
19	Spectrogram 1	1	19506.397319074	19506.564120338	1754.025	2533.591	0.1668	779.566	-62.29	Birds
20	Spectrogram 1	1	19506.583744016	19506.730921602	1649.083	2593.558	0.1472	944.475	-61.36	Birds
21	Spectrogram 1	1	19506.760357119	19506.927158384	1739.033	2458.633	0.1668	719.600	-64.26	Birds
22	Spectrogram 1	1	19505.504441718	19505.828232408	2398.666	4872.291	0.3238	2473.624	-68.75	Birds
23	Spectrogram 1	1	19505.278769420	19505.573124592	2563.574	4962.241	0.2944	2398.666	-68.62	Birds
24	Spectrogram 1	1	19505.013849765	19505.318016776	2398.666	2848.416	0.3042	449.750	-63.59	Birds
25	Spectrogram 1	1	19503.522450226	19504.111160570	2818.433	5996.665	0.5887	3178.233	-75.85	Birds
26	Spectrogram 1	1	19501.432528504	19501.815190228	5951.690	7330.923	0.3827	1379.233	-74.68	Birds
27	Spectrogram 1	1	19502.865057009	19503.110352985	4602.441	6971.123	0.2453	2368.683	-73.32	
29	Spectrogram 1	1	19504.680247237	19504.896107696	509.717	779.566	0.2159	269.850	-64.66	Birds
30	Spectrogram 1	1	19504.474198616	19504.680247237	6116.599	6911.157	0.2060	794.558	-75.01	Birds
31	Spectrogram 1	1	19504.856860340	19505.543689075	5666.849	8380.340	0.6868	2713.491	-70.66	Birds
32	Spectrogram 1	1	19508.032789231	19508.582252219	3987.782	5621.874	0.5495	1634.091	-74.04	Birds
33	Spectrogram 1	1	19507.267465783	19507.552009116	5337.032	6911.157	0.2845	1574.125	-75.38	Birds
34	Spectrogram 1	1	19507.630503829	19507.865987967	7225.982	8140.473	0.2355	914.491	-77.34	Birds
35	Spectrogram 1	1	19509.828355781	19510.260076700	1454.191	2383.674	0.4317	929.483	-64.13	Birds
36	Spectrogram 1	1	19510.279700378	19510.524996355	1274.291	2158.800	0.2453	884.508	-64.84	Birds
37	Spectrogram 1	1	19510.505372676	19510.721233136	1349.250	2143.808	0.2159	794.558	-63.14	Birds
38	Spectrogram 1	1	19510.731044975	19511.025400147	1379.233	2188.783	0.2944	809.550	-64.51	Birds
39	Spectrogram 1	1	19511.525803940	19511.780911756	2458.633	3043.308	0.2551	584.675	-71.80	Birds
40	Spectrogram 1	1	19511.771099917	19512.222444514	2458.633	2983.341	0.4513	524.708	-69.82	Birds
41	Spectrogram 1	1	19512.075266928	19512.271503709	1858.966	4557.466	0.1962	2698.499	-73.82	Birds
42	Spectrogram 1	1	19512.379433939	19512.516799686	1843.975	4062.741	0.1374	2218.766	-72.17	Birds
43	Spectrogram 1	1	19512.585482559	19512.771907502	1769.016	3597.999	0.1864	1828.983	-72.53	Birds
44	Spectrogram 1	1	19512.860214053	19512.987767961	1769.016	3508.049	0.1276	1739.033	-71.20	Birds
45	Spectrogram 1	1	19513.095698191	19513.272311294	1769.016	3687.949	0.1766	1918.933	-71.68	Birds
46	Spectrogram 1	1	19513.282123133	19513.507795432	1349.250	1664.075	0.2257	314.825	-67.43	Birds
47	Spectrogram 1	1	19508.699994288	19509.867603137	2833.424	6266.515	1.1676	3433.091	-71.83	Birds
48	Spectrogram 1	1	19512.222444514	19512.536423364	629.650	1049.416	0.3140	419.767	-66.09	Birds
49	Spectrogram 1	1	19513.530010388	19513.677187974	2713.491	5471.957	0.1472	2758.466	-74.31	Birds
50	Spectrogram 1	1	19513.736059009	19513.951919468	7195.998	7480.840	0.2159	284.842	-75.40	Birds
