Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4440.000000000	4499.999979167	7290.566	8150.943	60.0000	860.377	-60.95	Insects
2	Spectrogram 1	1	4440.000000000	4440.466690314	6271.698	7064.151	0.4667	792.453	-62.04	Birds
3	Spectrogram 1	1	4440.152735012	4440.678822274	3396.226	6022.642	0.5261	2626.415	-56.32	Birds
4	Spectrogram 1	1	4441.374615105	4441.671599850	3939.623	5637.736	0.2970	1698.113	-67.50	Birds
5	Spectrogram 1	1	4440.763675059	4441.527350117	1335.849	1833.962	0.7637	498.113	-66.91	Birds
6	Spectrogram 1	1	4442.078893215	4442.426789630	2354.717	4732.075	0.3479	2377.358	-70.81	Birds
7	Spectrogram 1	1	4440.746704502	4440.967321741	6520.755	6792.453	0.2206	271.698	-66.16	Birds
8	Spectrogram 1	1	4441.620688180	4441.807364305	6566.038	6815.094	0.1867	249.057	-62.53	Birds
9	Spectrogram 1	1	4442.588009921	4442.757715489	6498.113	6792.453	0.1697	294.340	-64.62	Birds
10	Spectrogram 1	1	4443.020759120	4443.674125559	3237.736	6452.830	0.6534	3215.094	-65.08	Birds
11	Spectrogram 1	1	4443.758978344	4444.412344783	2060.377	4981.132	0.6534	2920.755	-69.01	Birds
12	Spectrogram 1	1	4443.809890014	4444.140815873	4630.872	6543.624	0.3309	1912.752	-67.35	Birds
13	Spectrogram 1	1	4443.775948900	4444.480227010	1389.262	1852.349	0.7043	463.087	-65.49	Birds
14	Spectrogram 1	1	4444.743270641	4445.286328461	3624.161	6080.537	0.5431	2456.376	-66.65	Birds
15	Spectrogram 1	1	4445.413607637	4445.744533496	2315.436	5033.557	0.3309	2718.121	-69.74	Birds
16	Spectrogram 1	1	4446.660943566	4447.339765840	1328.859	2013.423	0.6788	684.564	-66.47	Birds
17	Spectrogram 1	1	4446.457296884	4447.025810538	4469.799	6161.074	0.5685	1691.275	-62.07	Birds
18	Spectrogram 1	1	4447.263398334	4447.662206420	2255.034	6000.000	0.3988	3744.966	-68.12	Birds
19	Spectrogram 1	1	4448.247690632	4448.663469275	2677.852	5174.497	0.4158	2496.644	-69.21	Birds
20	Spectrogram 1	1	4442.350422125	4444.166271708	261.745	563.758	1.8158	302.013	-67.60	Mammals
21	Spectrogram 1	1	4444.853579261	4446.542149668	181.208	583.893	1.6886	402.685	-68.56	Mammals
22	Spectrogram 1	1	4444.454771175	4444.666903135	6523.490	6825.503	0.2121	302.013	-63.04	Birds
23	Spectrogram 1	1	4445.176019841	4445.405122359	6583.893	6946.309	0.2291	362.416	-66.20	Birds
24	Spectrogram 1	1	4445.744533496	4446.245164923	6503.356	6825.503	0.5006	322.148	-66.69	Birds
25	Spectrogram 1	1	4446.635487731	4446.822163856	6503.356	6966.443	0.1867	463.087	-63.47	Birds
26	Spectrogram 1	1	4447.755544483	4447.950705887	6442.953	6865.772	0.1952	422.819	-63.72	Birds
27	Spectrogram 1	1	4448.523318819	4449.889448646	221.477	503.356	1.3661	281.879	-67.30	Mammals
28	Spectrogram 1	1	4448.735450780	4448.922126905	6543.624	6906.040	0.1867	362.416	-64.44	Birds
29	Spectrogram 1	1	4449.244567486	4449.694287242	6543.624	6865.772	0.4497	322.148	-64.73	Birds
30	Spectrogram 1	1	4449.312449713	4449.948845595	4187.919	6302.013	0.6364	2114.094	-66.38	Birds
31	Spectrogram 1	1	4449.405787776	4449.626405015	3442.953	4328.859	0.2206	885.906	-66.97	Birds
32	Spectrogram 1	1	4449.711257799	4450.415535909	1248.322	1912.752	0.7043	664.430	-67.17	Birds
33	Spectrogram 1	1	4450.067639493	4450.381594795	2275.168	5335.570	0.3140	3060.403	-68.76	Birds
34	Spectrogram 1	1	4451.959856582	4452.282297163	2436.242	5255.034	0.3224	2818.792	-70.49	Birds
35	Spectrogram 1	1	4451.968341861	4452.655649414	1248.322	1812.081	0.6873	563.758	-67.23	Birds
36	Spectrogram 1	1	4449.957330874	4450.271286175	6503.356	6805.369	0.3140	302.013	-65.49	Birds
