Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	20161.697448159	20161.883873101	6190.813	6699.647	0.1864	508.834	-68.01	Birds
2	Spectrogram 1	1	20162.874868848	20163.090729307	6233.216	6805.654	0.2159	572.438	-64.58	Birds
3	Spectrogram 1	1	20160.588710344	20160.981183907	6360.424	7462.898	0.3925	1102.473	-69.58	Birds
4	Spectrogram 1	1	20160.765323447	20161.128361493	3964.664	5809.187	0.3630	1844.523	-72.90	Birds
5	Spectrogram 1	1	20160.107930230	20160.529839310	3773.852	6042.403	0.4219	2268.551	-74.72	Birds
6	Spectrogram 1	1	20163.434143675	20163.826617237	3795.053	6636.042	0.3925	2840.989	-74.34	Birds
7	Spectrogram 1	1	20164.523257811	20164.699870915	6212.014	6763.251	0.1766	551.237	-66.89	Birds
8	Spectrogram 1	1	20165.681054822	20165.896915281	6190.813	6763.251	0.2159	572.438	-68.25	Birds
9	Spectrogram 1	1	20166.642615051	20166.917346545	3879.859	6084.806	0.2747	2204.947	-73.77	Birds
10	Spectrogram 1	1	20166.466001947	20166.622991372	4473.498	5427.562	0.1570	954.064	-75.29	Birds
11	Spectrogram 1	1	20166.770168958	20166.966405740	6148.410	6763.251	0.1962	614.841	-69.41	Birds
12	Spectrogram 1	1	20168.379310566	20168.585359186	6212.014	6657.244	0.2060	445.230	-68.00	Birds
13	Spectrogram 1	1	20170.972414603	20171.345264488	3625.442	6742.049	0.3728	3116.608	-74.33	Birds
14	Spectrogram 1	1	20172.395131268	20172.669862762	6212.014	6699.647	0.2747	487.633	-68.13	Birds
15	Spectrogram 1	1	20174.435993795	20174.799031841	2247.350	6699.647	0.3630	4452.297	-74.77	Birds
16	Spectrogram 1	1	20176.967448275	20177.212744252	6063.604	6720.848	0.2453	657.244	-70.25	Birds
17	Spectrogram 1	1	20175.799839426	20176.123630115	3773.852	6742.049	0.3238	2968.198	-71.80	Birds
18	Spectrogram 1	1	20178.144868964	20178.380353101	6084.806	6657.244	0.2355	572.438	-70.06	Birds
19	Spectrogram 1	1	20169.471203225	20169.716499202	7865.724	8289.753	0.2453	424.028	-66.46	Birds
20	Spectrogram 1	1	20175.456425058	20175.652661840	6021.201	6657.244	0.1962	636.042	-68.18	Birds
