Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
57	Spectrogram 1	1	6342.182140504	6342.407812803	4962.109	5495.881	0.2257	533.773	-73.61	Birds
58	Spectrogram 1	1	6342.721791653	6342.996523147	4369.028	7433.278	0.2747	3064.250	-73.71	Birds
59	Spectrogram 1	1	6343.428244066	6343.791282112	4408.567	5416.804	0.3630	1008.237	-74.60	Birds
60	Spectrogram 1	1	6345.243434294	6345.645719696	4922.570	5574.959	0.4023	652.389	-74.12	Birds
61	Spectrogram 1	1	6345.783085443	6346.106876132	4645.799	7334.432	0.3238	2688.633	-75.30	Birds
62	Spectrogram 1	1	6346.597468086	6347.019377166	5159.802	5614.498	0.4219	454.695	-71.57	Birds
63	Spectrogram 1	1	6346.528464964	6346.744325423	6662.273	7571.664	0.2159	909.390	-71.82	Birds
64	Spectrogram 1	1	6346.724701745	6347.146610825	5930.807	6563.427	0.4219	632.619	-72.00	Birds
65	Spectrogram 1	1	6347.519460710	6347.862875077	6332.239	7606.124	0.3434	1273.885	-73.29	Birds
66	Spectrogram 1	1	6348.054205939	6348.358372950	2561.538	3504.213	0.3042	942.675	-68.74	Birds
67	Spectrogram 1	1	6348.912741858	6349.216908869	5160.264	5491.474	0.3042	331.210	-70.13	Birds
68	Spectrogram 1	1	6350.933980706	6351.149841166	5211.219	5491.474	0.2159	280.255	-68.81	Birds
69	Spectrogram 1	1	6352.461395858	6352.814622065	5007.398	5465.996	0.3532	458.599	-72.12	Birds
70	Spectrogram 1	1	6354.021478271	6354.256962408	5211.219	5491.474	0.2355	280.255	-68.87	Birds
71	Spectrogram 1	1	6355.954410567	6356.229142061	5185.742	5567.907	0.2747	382.166	-70.02	Birds
72	Spectrogram 1	1	6354.520422185	6354.697035288	5826.896	6005.408	0.1766	178.512	-72.84	Birds
73	Spectrogram 1	1	6357.660210688	6357.895694825	5231.854	5549.210	0.2355	317.355	-69.53	Birds
74	Spectrogram 1	1	6359.347847008	6359.612766663	5172.350	5549.210	0.2649	376.860	-69.77	Birds
75	Spectrogram 1	1	6356.168811149	6356.443542643	4656.648	6183.920	0.2747	1527.273	-75.75	Birds
76	Spectrogram 1	1	6356.639779424	6356.816392528	4458.301	5767.391	0.1766	1309.091	-75.43	Birds
77	Spectrogram 1	1	6357.405102872	6357.630775170	3982.267	5350.863	0.2257	1368.595	-76.14	Birds
78	Spectrogram 1	1	6357.994695034	6359.996310204	2851.689	3724.416	2.0016	872.727	-69.40	Birds
79	Spectrogram 1	1	6340.097384279	6342.542448501	2860.021	3900.671	2.4451	1040.650	-71.82	Birds
80	Spectrogram 1	1	6356.922282477	6357.239235246	5987.036	6724.741	0.3170	737.705	-72.64	Birds
81	Spectrogram 1	1	6300.000000000	6359.999979167	6754.967	7072.848	60.0000	317.881	-71.19	Insects
