Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	23400.000000000	23459.999979167	3943.463	8607.774	60.0000	4664.311	-49.61	Insects
2	Spectrogram 1	1	23422.534682277	23433.413494411	11787.986	14544.170	10.8788	2756.184	-68.14	Insects
3	Spectrogram 1	1	23402.053653311	23411.822382574	12042.403	14628.975	9.7687	2586.572	-69.28	Insects
4	Spectrogram 1	1	23441.739115942	23450.453266478	11703.180	14459.364	8.7142	2756.184	-66.59	Insects
5	Spectrogram 1	1	23401.844625745	23402.099733561	854.525	1094.391	0.2551	239.867	-58.34	Birds
6	Spectrogram 1	1	23402.727691262	23403.139788502	1129.440	1534.880	0.4121	405.440	-59.35	Birds
7	Spectrogram 1	1	23402.295970342	23402.904304365	709.520	1086.000	0.6083	376.480	-61.41	Birds
8	Spectrogram 1	1	23406.336157810	23406.630512982	8624.565	9507.845	0.2944	883.280	-62.87	Birds
9	Spectrogram 1	1	23411.516808839	23411.752292977	8660.564	9657.204	0.2355	996.640	-66.43	Birds
10	Spectrogram 1	1	23416.972191362	23417.286170212	8259.140	9532.624	0.3140	1273.484	-65.78	Birds
11	Spectrogram 1	1	23421.152034806	23421.367895265	8411.404	9241.937	0.2159	830.533	-64.16	Birds
12	Spectrogram 1	1	23415.107941939	23415.480791823	3294.449	3640.504	0.3728	346.056	-67.82	Birds
13	Spectrogram 1	1	23419.719506302	23420.151227221	3349.817	3765.084	0.4317	415.267	-66.21	Birds
14	Spectrogram 1	1	23430.488392409	23430.821994937	1384.222	2034.806	0.3336	650.584	-67.14	Birds
15	Spectrogram 1	1	23451.507102799	23451.879952683	3183.711	3598.977	0.3728	415.267	-66.05	Birds
16	Spectrogram 1	1	23454.725386014	23455.314096358	3059.131	3682.031	0.5887	622.900	-63.46	Birds
17	Spectrogram 1	1	23457.178345781	23457.551195666	2450.073	3529.766	0.3728	1079.693	-65.44	Birds
18	Spectrogram 1	1	23452.959254981	23453.332104866	2076.333	2422.389	0.3728	346.056	-72.42	Birds
19	Spectrogram 1	1	23455.706569921	23455.863559346	1951.753	2602.338	0.1570	650.584	-71.87	Birds
20	Spectrogram 1	1	23413.154482019	23413.820531741	8965.742	9631.321	0.6660	665.579	-71.52	Birds
21	Spectrogram 1	1	23418.871408804	23419.592962670	3445.351	3797.716	0.7216	352.365	-68.39	Birds
22	Spectrogram 1	1	23458.112838286	23458.612375578	2349.103	3171.289	0.4995	822.186	-72.75	Birds
