Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	25200.294355172	25200.608334022	2650.177	6233.216	0.3140	3583.039	-63.46	Birds
2	Spectrogram 1	1	25200.176613103	25200.598522183	7674.912	8056.537	0.4219	381.625	-70.53	Birds
3	Spectrogram 1	1	25201.010619424	25201.324598274	7462.898	7929.329	0.3140	466.431	-68.81	Birds
4	Spectrogram 1	1	25201.128361493	25201.442340343	1992.933	3222.615	0.3140	1229.682	-64.68	Birds
5	Spectrogram 1	1	25202.001615170	25202.511830802	2565.371	5279.152	0.5102	2713.781	-64.48	Birds
6	Spectrogram 1	1	25202.992610916	25203.336025284	2310.954	5618.375	0.3434	3307.420	-64.07	Birds
7	Spectrogram 1	1	25203.689251490	25204.081725053	3243.816	5385.159	0.3925	2141.343	-60.30	Birds
8	Spectrogram 1	1	25204.405515743	25204.621376202	2162.544	3137.809	0.2159	975.265	-65.48	Birds
9	Spectrogram 1	1	25205.151215512	25205.504441718	2904.594	5724.382	0.3532	2819.788	-70.40	Birds
10	Spectrogram 1	1	25206.652426890	25207.035088613	3222.615	6127.208	0.3827	2904.594	-73.33	Birds
11	Spectrogram 1	1	25207.941001354	25208.205921009	3816.254	6084.806	0.2649	2268.551	-74.02	Birds
12	Spectrogram 1	1	25208.382534112	25208.686701123	2713.781	4388.693	0.3042	1674.912	-71.74	Birds
13	Spectrogram 1	1	25209.020303652	25209.373529858	3837.456	5766.784	0.3532	1929.329	-72.65	Birds
14	Spectrogram 1	1	25209.589390318	25210.021111237	2650.177	3731.449	0.4317	1081.272	-74.00	Birds
15	Spectrogram 1	1	25210.560762386	25210.874741236	2968.198	4876.325	0.3140	1908.127	-72.46	Birds
16	Spectrogram 1	1	25211.061166178	25211.218155603	2925.795	3731.449	0.1570	805.654	-70.23	Birds
17	Spectrogram 1	1	25211.898903440	25212.222694129	2650.177	4473.498	0.3238	1823.322	-72.25	Birds
18	Spectrogram 1	1	25212.517049301	25212.713286083	2628.975	3922.261	0.1962	1293.286	-74.61	Birds
19	Spectrogram 1	1	25213.076324128	25213.292184588	2141.343	2968.198	0.2159	826.855	-66.26	Birds
20	Spectrogram 1	1	25212.978205738	25213.321620105	3773.852	5660.777	0.3434	1886.926	-73.89	Birds
21	Spectrogram 1	1	25213.409926657	25213.792588380	2522.968	4028.269	0.3827	1505.300	-72.76	Birds
22	Spectrogram 1	1	25215.460601022	25215.804015390	2310.954	5236.749	0.3434	2925.795	-73.68	Birds
23	Spectrogram 1	1	25216.167053435	25216.579150676	2310.954	3858.657	0.4121	1547.703	-74.04	Birds
24	Spectrogram 1	1	25216.942188722	25217.187484699	4113.074	6063.604	0.2453	1950.530	-74.01	Birds
25	Spectrogram 1	1	25217.561278838	25217.914505044	1971.731	4791.519	0.3532	2819.788	-62.79	Birds
26	Spectrogram 1	1	25218.297166768	25218.601333779	2226.148	3964.664	0.3042	1738.516	-72.79	Birds
27	Spectrogram 1	1	25219.415716422	25219.808189985	2247.350	5703.180	0.3925	3455.830	-60.76	Birds
28	Spectrogram 1	1	25220.912493991	25221.246096519	2713.781	4176.678	0.3336	1462.898	-71.63	Birds
29	Spectrogram 1	1	25221.658193760	25222.011419967	2628.975	4134.276	0.3532	1505.300	-72.93	Birds
30	Spectrogram 1	1	25222.502011920	25222.796367092	2565.371	3985.866	0.2944	1420.495	-72.26	Birds
31	Spectrogram 1	1	25223.080910425	25223.473383988	2713.781	4028.269	0.3925	1314.488	-71.95	Birds
32	Spectrogram 1	1	25223.934540425	25224.307390309	2480.565	4091.873	0.3728	1611.307	-72.33	Birds
33	Spectrogram 1	1	25224.719487550	25225.102149274	2438.163	4197.880	0.3827	1759.717	-73.46	Birds
34	Spectrogram 1	1	25225.455375480	25225.651612262	3159.011	4537.102	0.1962	1378.092	-71.14	Birds
35	Spectrogram 1	1	25226.024462146	25226.309005480	2416.961	3667.845	0.2845	1250.883	-71.57	Birds
36	Spectrogram 1	1	25226.632796169	25226.986022375	2501.767	4918.728	0.3532	2416.961	-67.54	Birds
37	Spectrogram 1	1	25227.672851110	25228.006453639	2671.378	4812.721	0.3336	2141.343	-71.84	v
38	Spectrogram 1	1	25228.398927202	25228.791400764	2522.968	5575.972	0.3925	3053.004	-63.54	Birds
39	Spectrogram 1	1	25228.742341569	25229.105379615	4621.908	7674.912	0.3630	3053.004	-71.74	Birds
40	Spectrogram 1	1	25229.919762257	25230.282800303	1950.530	4600.707	0.3630	2650.177	-58.99	Birds
41	Spectrogram 1	1	25229.242745362	25229.615595246	2650.177	4240.283	0.3728	1590.106	-71.84	Birds
42	Spectrogram 1	1	25222.080102840	25223.404701115	4134.276	5766.784	1.3246	1632.509	-74.62	Birds
43	Spectrogram 1	1	25223.306582724	25223.424324793	5809.187	6826.855	0.1177	1017.668	-71.01	Birds
44	Spectrogram 1	1	25223.640185252	25223.777550999	5173.145	6678.445	0.1374	1505.300	-73.45	Birds
45	Spectrogram 1	1	25230.111939653	25230.386671147	6296.820	7441.696	0.2747	1144.876	-74.36	Birds
46	Spectrogram 1	1	25230.769332871	25230.995005169	4961.131	7187.279	0.2257	2226.148	-73.51	Birds
47	Spectrogram 1	1	25231.299172181	25231.613151031	2332.155	5809.187	0.3140	3477.032	-61.28	Birds
48	Spectrogram 1	1	25232.349038961	25232.878878271	2395.760	6042.403	0.5298	3646.643	-56.03	Birds
49	Spectrogram 1	1	25233.379282063	25233.840438500	2247.350	5427.562	0.4612	3180.212	-58.87	Birds
50	Spectrogram 1	1	25234.811810568	25235.086542062	2141.343	3180.212	0.2747	1038.869	-60.28	Birds
