Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	18481.824334862	18482.223142948	2060.606	3684.848	0.3988	1624.242	-72.54	Birds
2	Spectrogram 1	1	18482.851053552	18483.343199701	1648.485	3975.758	0.4921	2327.273	-73.58	Birds
3	Spectrogram 1	1	18483.674125559	18483.988080861	1503.030	4000.000	0.3140	2496.970	-72.99	Birds
4	Spectrogram 1	1	18484.446285896	18484.802667590	1915.152	4169.697	0.3564	2254.545	-73.18	Birds
5	Spectrogram 1	1	18486.007577127	18486.389414656	1987.879	3296.970	0.3818	1309.091	-73.57	Birds
6	Spectrogram 1	1	18487.110663323	18487.492500852	1381.818	3515.152	0.3818	2133.333	-72.29	Birds
7	Spectrogram 1	1	18488.162837848	18488.621042883	1842.424	4024.242	0.4582	2181.818	-74.06	Birds
8	Spectrogram 1	1	18487.653721142	18488.052529228	5769.697	6400.000	0.3988	630.303	-76.49	Birds
9	Spectrogram 1	1	18489.779950792	18490.229670548	6060.606	6521.212	0.4497	460.606	-71.24	Birds
10	Spectrogram 1	1	18488.931422949	18489.355686870	1987.879	2981.818	0.4243	993.939	-72.97	Birds
11	Spectrogram 1	1	18490.009053309	18490.407861395	1866.667	4678.788	0.3988	2812.121	-73.99	Birds
12	Spectrogram 1	1	18490.713331419	18490.993345607	1890.909	4412.121	0.2800	2521.212	-73.95	Birds
13	Spectrogram 1	1	18493.454076351	18493.708634704	1915.152	2715.152	0.2546	800.000	-70.23	Birds
14	Spectrogram 1	1	18493.936594150	18494.233578895	2157.576	4121.212	0.2970	1963.636	-74.75	Birds
15	Spectrogram 1	1	18495.659105671	18495.964575694	2230.303	4581.818	0.3055	2351.515	-74.12	Birds
16	Spectrogram 1	1	18496.796132980	18497.059176611	1793.939	3903.030	0.2630	2109.091	-72.86	Birds
17	Spectrogram 1	1	18497.737998886	18498.102865858	1818.182	3806.061	0.3649	1987.879	-73.44	Birds
18	Spectrogram 1	1	18498.841085081	18499.070187599	2278.788	3563.636	0.2291	1284.848	-73.72	Birds
19	Spectrogram 1	1	18499.925478587	18500.171551661	1745.455	4024.242	0.2461	2278.788	-72.51	Birds
20	Spectrogram 1	1	18502.581370735	18502.946237707	2181.818	2884.848	0.3649	703.030	-71.72	Birds
21	Spectrogram 1	1	18503.896588891	18504.193573636	1963.636	2739.394	0.2970	775.758	-71.30	Birds
22	Spectrogram 1	1	18504.736631456	18505.109983706	2109.091	2812.121	0.3734	703.030	-71.03	Birds
23	Spectrogram 1	1	18501.631019551	18502.080739308	5600.000	6036.364	0.4497	436.364	-77.30	Birds
24	Spectrogram 1	1	18503.014119935	18503.472324970	5575.758	6060.606	0.4582	484.848	-76.73	Birds
25	Spectrogram 1	1	18504.499043660	18504.957248695	5696.970	6400.000	0.4582	703.030	-77.01	Birds
26	Spectrogram 1	1	18505.749768769	18506.224944361	2181.818	3709.091	0.4752	1527.273	-75.13	Birds
27	Spectrogram 1	1	18506.742546345	18507.098928039	1987.879	3587.879	0.3564	1600.000	-75.71	Birds
28	Spectrogram 1	1	18508.159587843	18508.439602031	1866.667	3612.121	0.2800	1745.455	-74.79	Birds
29	Spectrogram 1	1	18508.829924839	18509.211762368	1793.939	3684.848	0.3818	1890.909	-73.96	Birds
30	Spectrogram 1	1	18509.949981591	18510.229995779	2084.848	3466.667	0.2800	1381.818	-74.53	Birds
31	Spectrogram 1	1	18510.289392728	18510.416671905	1987.879	2496.970	0.1273	509.091	-71.48	Birds
32	Spectrogram 1	1	18511.137920571	18511.460361151	2206.061	2715.152	0.3224	509.091	-71.34	Birds
33	Spectrogram 1	1	18511.553699214	18511.901595629	2496.970	4024.242	0.3479	1527.273	-73.95	Birds
34	Spectrogram 1	1	18512.508149643	18512.720281603	2278.788	2763.636	0.2121	484.848	-70.68	Birds
35	Spectrogram 1	1	18512.813619666	18513.127574968	5890.909	6303.030	0.3140	412.121	-76.29	Birds
36	Spectrogram 1	1	18514.256116999	18515.494967649	1696.970	2133.333	1.2389	436.364	-73.84	Birds
37	Spectrogram 1	1	18515.758011280	18515.953172684	2109.091	3539.394	0.1952	1430.303	-75.14	Birds
38	Spectrogram 1	1	18516.530171617	18516.810185805	2327.273	3587.879	0.2800	1260.606	-75.02	Birds
39	Spectrogram 1	1	18517.115655829	18517.285361397	2254.545	3418.182	0.1697	1163.636	-75.44	Birds
40	Spectrogram 1	1	18514.722807312	18515.121615398	5939.394	6351.515	0.3988	412.121	-77.64	Birds
41	Spectrogram 1	1	18517.658713648	18517.887816166	2472.727	3515.152	0.2291	1042.424	-74.33	Birds
42	Spectrogram 1	1	18519.483048510	18519.763062698	1527.273	3854.545	0.2800	2327.273	-73.36	Birds
43	Spectrogram 1	1	18520.875706942	18521.189662244	2375.758	3757.576	0.3140	1381.818	-75.38	Birds
44	Spectrogram 1	1	18520.892677499	18521.741205342	1672.727	2109.091	0.8485	436.364	-74.16	Birds
45	Spectrogram 1	1	18521.978793138	18522.666100690	1430.303	1793.939	0.6873	363.636	-72.44	Birds
46	Spectrogram 1	1	18522.123042871	18522.453968730	1890.909	3830.303	0.3309	1939.394	-76.01	Birds
47	Spectrogram 1	1	18524.167994972	18524.541347223	2206.061	3515.152	0.3734	1309.091	-75.23	Birds
48	Spectrogram 1	1	18525.313507560	18525.652918697	2690.909	4242.424	0.3394	1551.515	-76.21	Birds
49	Spectrogram 1	1	18524.923184752	18525.135316713	1624.242	2909.091	0.2121	1284.848	-75.36	Birds
