system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_exBIO_NPP,EarthEnvTexture_Contrast_EVI,EarthEnvTopoMed_Elevation,SG_Soil_pH_H2O_000cm,WCS_Human_Footprint_2009,Site,.geo
00000000000000000025_0,11661,235.5685432,2554.6763,24151.129,108658,694.5,57.074425,11.343091,PSA0089-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,12027,234.3676816,2605.9404,24336.182,23429,703,56.603092,14.026265,PSA0099-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,11899,234.5637862,2621.3918,24395.643,29670,694,57.610893,15,PSA0135-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,10639,255.3997364,2564.5225,24187.707,21447,301,58.585674,10.960212,RefForest2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,9923,261.4005661,2583.959,24259.518,42934,184,58.850372,14.1963415,PSA0251-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,11389,238.6164609,2678.2356,24591.62,56214,609,56.66084,15,PSA0202-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,12046,228.5857973,2678.4172,24089.754,120850,805,55.329132,11.458599,PSA0175-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,12147,229.9328737,2705.1597,24158.668,191957,799.5,55.31427,11,PSA0074-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,11636,231.7832598,2690.1458,24256.988,104216,793,55.928062,15.000006,PSA0159-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,8895,271.5,1700.6969,19897.635,197133,8,65.535194,15.986248,PSA0051-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,9419,270.4334255,1723.9657,20047.305,133734,27,62.662056,13.800836,PSA0050-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,9071,271.4832852,1706.1969,19933.268,69491,11,65.02846,15.004328,PSA0001-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,9090,269.5498624,1736.6644,20127.506,99854,42.5,63.052166,15.495287,PSA0059-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,9119,271.5,1721.8865,20033.648,289738,24.5,63.08985,13.837231,PSA0179-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,12766,230.6668647,2405.051,23563.22,77608,743.5,57.089043,12.768361,RefForest3,"{""type"":""MultiPoint"",""coordinates"":[]}"
