geometry,Site,Type,distanceToRoad,latitude,longitude
POINT (-85.302987 10.036689),PSA0189-2007,Plantation,147,10.036689,-85.302987
POINT (-85.37455 10.173365),PSA0192-2009,Plantation,73,10.173365,-85.37455
POINT (-85.459654 10.079726),PSA0193-2013,Natural_Regeneration,371,10.079726,-85.459654
POINT (-85.231469 9.91418),PSA0229-2012,Natural_Regeneration,409,9.91418,-85.231469
POINT (-85.462971 10.06177),PSA0254-2011,Plantation,229,10.06177,-85.462971
POINT (-85.513311 9.914917),PSA0259-2012,Plantation,58,9.914917,-85.513311
POINT (-85.586667 10.418507),PSA0280-2012,Plantation,439,10.418507,-85.586667
POINT (-85.432393 10.005537),PSA0285-2011,Plantation,182,10.005537,-85.432393
POINT (-85.59998 9.929276),PSA0289-2012,Plantation,51,9.929276,-85.59998
POINT (-85.59733 9.937965),PSA0290-2012,Plantation,41,9.937965,-85.59733
POINT (-85.610853 9.931769),PSA0292-2012,Plantation,66,9.931769,-85.610853
POINT (-85.246904 10.063286),PSA0310-2011,Plantation,82,10.063286,-85.246904
POINT (-85.236168 10.058171),PSA0313-2012,Plantation,33,10.058171,-85.236168
POINT (-85.604238 10.360031),PSA0331-2012,Plantation,436,10.360031,-85.604238
POINT (-85.229422 10.051912),PSA0332-2012,Plantation,58,10.051912,-85.229422
POINT (-84.972004 9.837511),PSA0341-2012,Natural_Regeneration,216,9.837511,-84.972004
POINT (-85.212849 10.042576),PSA0342-2013,Plantation,33,10.042576,-85.212849
POINT (-85.417598 10.015324),PSA0350-2012,Plantation,71,10.015324,-85.417598
POINT (-85.446894 10.022188),PSA0351-2012,Plantation,45,10.022188,-85.446894
POINT (-85.493021 10.026163),PSA0373-2011,Plantation,197,10.026163,-85.493021
POINT (-85.427338 10.048363),PSA0374-2012,Plantation,131,10.048363,-85.427338
POINT (-85.669684 10.39411),PSA0377-2011,Plantation,213,10.39411,-85.669684
POINT (-85.528727 9.916817),PSA0380-2011,Plantation,190,9.916817,-85.528727
POINT (-85.441603 10.013978),PSA0400-2013,Plantation,53,10.013978,-85.441603
POINT (-85.606619 10.349981),PSA0401-2011,Plantation,441,10.349981,-85.606619
POINT (-85.4932 10.132322),PSA0418-2013,Natural_Regeneration,766,10.132322,-85.4932
POINT (-85.49633 10.061398),PSA0429-2012,Plantation,267,10.061398,-85.49633
POINT (-84.968224 9.769693),PSA0431-2013,Natural_Regeneration,334,9.769693,-84.968224
POINT (-85.500986 9.984975),PSA0483-2013,Plantation,300,9.984975,-85.500986
POINT (-84.929703 9.781682),RefForest1,Reference_Forest,225,9.781682,-84.929703
POINT (-85.443589 10.130953),RefForest10,Reference_Forest,71,10.130953,-85.443589
POINT (-85.58583 10.288491),RefForest11,Reference_Forest,113,10.288491,-85.58583
POINT (-85.597397 10.190503),RefForest12,Reference_Forest,64,10.190503,-85.597397
POINT (-85.601973 10.201002),RefForest13,Reference_Forest,12,10.201002,-85.601973
POINT (-85.608737 10.196744),RefForest14,Reference_Forest,29,10.196744,-85.608737
POINT (-85.721857 10.324198),RefForest15,Reference_Forest,71,10.324198,-85.721857
POINT (-85.793354 10.367994),RefForest16,Reference_Forest,135,10.367994,-85.793354
POINT (-85.851379 10.342749),RefForest17,Reference_Forest,184,10.342749,-85.851379
POINT (-85.816081 10.394641),RefForest18,Reference_Forest,45,10.394641,-85.816081
POINT (-85.549164 10.240592),RefForest19,Reference_Forest,58,10.240592,-85.549164
POINT (-85.008129 9.930764),RefForest4,Reference_Forest,385,9.930764,-85.008129
POINT (-85.362946 10.173025),RefForest5,Reference_Forest,41,10.173025,-85.362946
POINT (-85.20542 9.954842),RefForest6,Reference_Forest,0,9.954842,-85.20542
POINT (-84.956505 9.891859),RefForest7,Reference_Forest,592,9.891859,-84.956505
POINT (-85.511873 9.900216),RefForest8.1,Reference_Forest,521,9.900216,-85.511873
POINT (-85.462651 10.130734),RefForest8.2,Reference_Forest,20,10.130734,-85.462651
POINT (-85.455111 10.128029),RefForest9,Reference_Forest,25,10.128029,-85.455111
