Site,Latitude,Longitude,Recording Failure,Recorder,Mean Canopy Height,Land Use Type,Microphone Deployment Date,Minutes Annotated,Mean Annual Percipitation,Enhanced Vegitation Index (EVI),Elevation,Human Footprint,distanceToRoad,Forest Condition
PSA0045-2013,9.908067,-85.509921,No,RFX30,9.089666667,Plantation,22.06.2022,1,2245.818,103303,132.5,15.189233,91,Monoculture
PSA0049-2013,10.150723,-85.365235,No,ZH14,7.811666667,Plantation,15.06.2022,0,1933.8645,169722,53.5,11.883265,41,Monoculture
PSA0050-2018,10.393508,-85.425324,Yes,RFX17.,5.936333333,Natural Regeneration,01.06.2022,0,1723.9657,133734,27,13.800836,NA,"Secondary, Regenerating"
PSA0051-2018,10.38309,-85.462417,No,ZH20,6.754333333,Natural Regeneration,01.06.2022,1,1700.6969,197133,8,15.986248,55,"Secondary, Regenerating"
PSA0055-2018,10.053912,-85.465612,Yes,RFX1,7.026333333,Natural Regeneration,17.05.2022,0,2204.8176,66822,248,15,NA,"Secondary, Regenerating"
PSA0059-2012,10.412013,-85.418279,No,RFX30,3.018,Natural Regeneration,01.06.2022,0,1736.6644,99854,42.5,15.495287,41,"Secondary, Regenerating"
PSA0061-2012,9.867144,-84.974713,No,ZH13,4.103333333,Natural Regeneration,10.06.2022,0,2655.5579,47501,111.5,18.261322,20,"Secondary, Regenerating"
PSA0074-2020,10.11715,-85.611326,No,RFX16.,4.24,Natural Regeneration,31.05.2022,1,2705.1597,191957,799.5,11,97,"Secondary, Regenerating"
PSA0077-2013,10.057821,-85.45511,No,ZH1,8.144,Plantation,17.05.2022,1,2227.5403,65314,367,15,383,Monoculture
PSA0078-2013,10.357884,-85.614469,No,RFX25,11.033,Plantation,14.06.2022,2,1840.14,37878,37,11.7308,18,Monoculture
PSA0087-2013,10.042089,-85.420343,No,RFX8,12.96766667,Plantation,13.06.2022,0,2335.5244,65170,360,15.962758,128,Monoculture
PSA0089-2016,10.162636,-85.568514,No,RFX39,1.559,Natural Regeneration,31.05.2022,1,2554.6763,108658,694.5,11.343091,45,"Secondary, Regenerating"
PSA0093-2010,9.893221,-85.209029,No,RFX38,15.015,Plantation,20.05.2022,0,2284.7412,70255,69,14.000199,238,Monoculture
PSA0093-2018,9.789404,-84.953989,No,ZH19,20.17,Natural Regeneration,19.05.2022,1,2489.4958,55397,108,12.952989,1000,"Secondary, Regenerating"
PSA0094-2013,9.916368,-85.617281,No,ZH6,3.939666667,Plantation,30.05.2022,0,2186.501,154499,18.5,16.755802,55,Monoculture
PSA0095-2013,9.900368,-85.581984,No,RFX67,13.20133333,Plantation,30.05.2022,1,2199.1746,116253,45.5,14.057799,12,Monoculture
PSA0096-2013,9.933043,-85.603672,No,ZH7,7.48,Plantation,30.05.2022,1,2299.7375,64058,112.5,9.027014,18,Monoculture
PSA0098-2013,9.937638,-85.618012,Yes,RFX37,4.702333333,Plantation,30.05.2022,0,2282.1943,44935,69,9.533547,NA,Monoculture
PSA0099-2013,9.901812,-85.600705,No,ZH5,4.690666667,Plantation,30.05.2022,0,2182.6248,57190,57.5,15.591681,332,Monoculture
PSA0099-2019,10.148668,-85.562963,No,ZH15,10.13333333,Natural Regeneration,31.05.2022,1,2605.9404,23429,703,14.026265,82,"Secondary, Regenerating"
PSA0112-2019,10.020067,-85.391844,Yes,RFX9,3.254,Natural Regeneration,03.06.2022,0,2413.6777,89924,508.5,17.71344,NA,"Secondary, Regenerating"
PSA0116-2019,9.996286,-85.300947,No,ZH9,6.903666667,Natural Regeneration,09.06.2022,0,2459.9382,129153,485,14.03567,221,"Secondary, Regenerating"
PSA0123-2018,9.900988,-85.058166,No,ZH19,4.515,Natural Regeneration,11.06.2022,0,2506.615,80323,124,8.485965,41,"Secondary, Regenerating"
PSA0131-2018,10.000483,-85.396116,No,ZH8,3.421666667,Natural Regeneration,09.06.2022,1,2414.4243,91195,733,12.834423,155,"Secondary, Regenerating"
PSA0132-2013,9.878548,-85.091081,No,ZH3,5.089,Natural Regeneration,11.06.2022,1,2375.735,80679,105.5,16.504839,136,"Secondary, Regenerating"
PSA0135-2020,10.145904,-85.571727,No,ZH2,6.570666667,Natural Regeneration,31.05.2022,1,2621.3918,29670,694,15,101,"Secondary, Regenerating"
PSA0151-2016,9.941921,-85.03513,No,RFX33,5.325666667,Natural Regeneration,11.06.2022,1,2348.595,80299,24,21.248772,69,"Secondary, Regenerating"
PSA0152-2013,9.859385,-84.958925,No,ZH15,8.700333333,Natural Regeneration,10.06.2022,1,2621.742,67880,96,16.992674,422,"Secondary, Regenerating"
PSA0153-2012,9.980546,-85.322406,Yes,ZH10,3.547,Natural Regeneration,09.06.2022,0,2371.932,32888,281.5,12.580771,NA,"Secondary, Regenerating"
PSA0156-2015,10.013394,-85.395731,Yes,RFX26,8.650333333,Natural Regeneration,03.06.2022,0,2411.6272,45246,565,12.6963415,NA,"Secondary, Regenerating"
PSA0159-2020,10.133546,-85.633209,No,RFX20,3.462333333,Natural Regeneration,31.05.2022,1,2690.1458,104216,793,15.000006,75,"Secondary, Regenerating"
PSA0161-2016,9.903031,-85.067956,No,RFX29,3.707333333,Natural Regeneration,11.06.2022,1,2575.8037,37377,411,6.9267755,110,"Secondary, Regenerating"
PSA0161-2017,10.021751,-85.385217,Yes,ZH11,6.355,Natural Regeneration,03.06.2022,0,2450.1604,43764,708.5,15.349382,NA,"Secondary, Regenerating"
PSA0165-2021,9.871347,-84.96811,No,RFX16.,1.743333333,Natural Regeneration,10.06.2022,1,2655.5579,47501,111.5,18.261322,495,"Secondary, Regenerating"
PSA0166-2010,9.91583,-85.505179,Yes,RFX39,12.99933333,Plantation,22.06.2022,0,2313.2217,91551,198,14.575078,NA,Monoculture
PSA0166-2016,10.096192,-85.509244,No,ZH14,8.305,Natural Regeneration,18.05.2022,1,2322.7734,39196,230.5,12.467585,183,"Secondary, Regenerating"
PSA0167-2010,9.923814,-85.519319,No,RFX72,9.075666667,Plantation,22.06.2022,0,2313.2139,61805,67.5,18.684374,155,Monoculture
PSA0168-2016,10.101928,-85.507895,No,ZH4,10.01033333,Natural Regeneration,17.05.2022,1,2312.6038,36383,299,14.1626005,480,"Secondary, Regenerating"
PSA0170-2016,9.905932,-85.233058,No,ZH15,4.911,Natural Regeneration,20.05.2022,0,2404.6135,140230,96.5,16.082253,182,"Secondary, Regenerating"
PSA0171-2016,9.898696,-85.233648,Yes,RFX37,14.06633333,Natural Regeneration,20.05.2022,0,2471.1992,55747,254.5,10.286192,NA,"Secondary, Regenerating"
PSA0175-2013,10.108876,-85.609188,No,ZH13,3.262,Natural Regeneration,31.05.2022,0,2678.4172,120850,805,11.458599,156,"Secondary, Regenerating"
PSA0179-2013,10.350383,-85.509869,No,RFX25,4.662,Natural Regeneration,01.06.2022,0,1721.8865,289738,24.5,13.837231,1180,"Secondary, Regenerating"
PSA0183-2017,10.104767,-85.504834,No,RFX39,4.270666667,Natural Regeneration,18.05.2022,1,2312.6038,36383,299,14.1626005,653,"Secondary, Regenerating"
PSA0189-2007,10.036689,-85.302987,No,RFX25,7.232,Plantation,15.06.2022,3,2238.9207,126345,238,19.002586,147,Monoculture
PSA0192-2009,10.173365,-85.37455,No,RFX26,5.815666667,Plantation,15.06.2022,1,1947.9286,58973,125.5,14.75526,73,Monoculture
PSA0193-2013,10.079726,-85.459654,No,RFX16.,11.94633333,Natural Regeneration,17.05.2022,3,2209.1545,202721,213.5,14.793601,371,"Secondary, Regenerating"
PSA0194-2013,9.920338,-85.004743,Yes,RFX41,5.634333333,Natural Regeneration,11.06.2022,0,2339.899,221062,39,14.104322,NA,"Secondary, Regenerating"
PSA0202-2016,10.13587,-85.583758,Yes,RFX16,7.191,Natural Regeneration,31.05.2022,0,2678.2356,56214,609,15,NA,"Secondary, Regenerating"
PSA0229-2012,9.91418,-85.231469,No,ZH7,20.64066667,Natural Regeneration,20.05.2022,0,2438.678,93462,175,12.344437,409,"Secondary, Regenerating"
PSA0243-2011,9.906234,-85.520948,Yes,RFX29,11.91433333,Plantation,22.06.2022,0,2225.3533,37474,89,16.99235,NA,Monoculture
PSA0251-2012,10.161155,-85.595423,Yes,RFX61,3.805666667,Natural Regeneration,31.05.2022,0,2583.959,42934,184,14.1963415,NA,"Secondary, Regenerating"
PSA0254-2011,10.06177,-85.462971,No,ZH8,10.63733333,Plantation,17.05.2022,0,2195.3628,60940,213,15,229,Monoculture
PSA0259-2012,9.914917,-85.513311,No,RFX25,10.61233333,Plantation,22.06.2022,1,2283.5627,73242,100.5,15.04488,58,Monoculture
PSA0280-2012,10.418507,-85.586667,No,RFX5,9.275,Plantation,08.06.2022,1,1974.8937,57531,56.5,17.805075,439,Monoculture
PSA0285-2011,10.005537,-85.432393,No,RFX72,2.694666667,Plantation,13.06.2022,0,2385.822,68206,379.5,13.150076,182,Monoculture
PSA0287-2011,10.016946,-85.471404,Yes,RFX38,6.933333333,Plantation,13.06.2022,0,2375.547,115954,554,15.437986,NA,Monoculture
PSA0289-2012,9.929276,-85.59998,No,RFX29,5.466,Plantation,30.05.2022,1,2320.935,50087,107,9.108627,51,Monoculture
PSA0290-2012,9.937965,-85.59733,No,RFX33,8.766666667,Plantation,30.05.2022,0,2373.1968,40224,154,10.06328,41,Monoculture
PSA0292-2012,9.931769,-85.610853,No,ZH16,9.465333333,Plantation,30.05.2022,1,2271.0254,36159,41,10.905368,66,Monoculture
PSA0310-2011,10.063286,-85.246904,No,ZH15,9.891333333,Plantation,19.06.2022,0,1899.6072,136403,22.5,15.479127,82,Monoculture
