nearest_10,distance_nat,distance_past,distance_plant,closest_type,freq_category
100,31424.2609917749,59778.7180630242,43228.8836183292,Natural_Regeneration,1-2 kHz
110,41021.6630109456,35353.670686848,39345.2613951218,Pasture,1-2 kHz
120,51025.7682333783,35634.8174819342,44445.9130788773,Pasture,1-2 kHz
130,50829.3596805306,44228.6797799791,41474.8547248822,Plantation,1-2 kHz
140,37055.2908648445,56592.7808773168,48940.8786094439,Natural_Regeneration,1-2 kHz
150,53619.1125255564,55411.0133155059,49581.6177744748,Plantation,1-2 kHz
160,59176.9522868224,57631.009442364,46934.0241312122,Plantation,1-2 kHz
170,60059.8003927189,43669.9560827336,52336.0090909359,Pasture,1-2 kHz
180,70347.6300453938,61077.6195586889,53945.4622711178,Plantation,1-2 kHz
190,64834.4356858878,48731.3628657155,50184.8245430534,Pasture,1-2 kHz
200,61362.6733220867,45767.5259883609,51001.7030269053,Pasture,1-2 kHz
210,64475.9416840219,45497.0890529573,49724.3987319453,Pasture,1-2 kHz
220,69070.8363226493,43041.7834669558,49759.4596967003,Pasture,1-2 kHz
230,100200.616716967,45377.8564231012,75548.337340119,Pasture,1-2 kHz
240,99239.3860644773,44382.9393058573,80614.5284891856,Pasture,1-2 kHz
250,100481.296714936,38180.1915760174,80195.751468478,Pasture,1-2 kHz
260,105013.643674197,28757.4344621653,89784.8938958606,Pasture,1-2 kHz
270,82637.856175571,50447.3768470948,76675.7174077204,Pasture,1-2 kHz
280,81506.0926993026,59329.8619667236,87766.8074996777,Pasture,1-2 kHz
290,108635.816506017,65517.3362379524,98251.4532313527,Pasture,1-2 kHz
300,101969.578867021,94977.1167713403,104353.117697094,Pasture,1-2 kHz
310,109629.050194567,58635.2609496389,140656.271879379,Pasture,1-2 kHz
320,194635.237952734,110310.304768826,234727.059439469,Pasture,1-2 kHz
330,187957.720908568,112428.188058431,217316.235425205,Pasture,1-2 kHz
340,172474.065206143,81314.7685550661,189728.691747049,Pasture,1-2 kHz
350,147924.281984947,70435.2821866643,160137.911363507,Pasture,1-2 kHz
360,115599.39775711,71763.7997389028,143577.30234254,Pasture,1-2 kHz
370,115372.010859452,80888.2257868459,162710.510494154,Pasture,1-2 kHz
380,113815.51255679,75743.2477806537,174070.437214579,Pasture,1-2 kHz
390,112527.646520828,73098.40441457,178770.135936992,Pasture,1-2 kHz
400,112341.266894825,82453.5650993238,181773.124965345,Pasture,1-2 kHz
410,106445.691721578,82601.4859646307,180507.423293197,Pasture,1-2 kHz
420,123085.524861912,64629.5107803144,189613.671554041,Pasture,1-2 kHz
430,114279.65824089,56939.3568878454,163416.9219898,Pasture,1-2 kHz
440,120622.297486924,69571.5573930815,173103.471855915,Pasture,1-2 kHz
450,138801.678642496,80760.8939830225,185965.527635,Pasture,1-2 kHz
460,122787.566262998,56875.0284837019,160693.967614743,Pasture,1-2 kHz
470,134109.771489499,84655.5982083073,169964.049337472,Pasture,1-2 kHz
480,139060.035951802,85735.8544486526,167406.573738149,Pasture,1-2 kHz
490,125462.854343388,76510.7197095559,161273.678757548,Pasture,1-2 kHz
500,113844.65625369,83838.6726775819,148705.600564692,Pasture,1-2 kHz
510,123362.38751946,46541.2166508981,148560.359422697,Pasture,1-2 kHz
520,125504.339473793,62359.4582754498,162029.194986799,Pasture,1-2 kHz
530,143716.999365627,84126.2091379704,166714.532621664,Pasture,1-2 kHz
540,120649.233796352,49274.8042318126,143557.239246877,Pasture,1-2 kHz
550,111195.713100069,36102.6597156272,127016.870711256,Pasture,1-2 kHz
560,137429.926310065,52795.286691558,164732.791903425,Pasture,1-2 kHz
570,131373.298821522,53334.9421294398,173817.906013724,Pasture,1-2 kHz
580,136758.772479566,60097.4930230919,187601.210439228,Pasture,1-2 kHz
590,118164.242316323,59691.7651448039,154984.261803132,Pasture,1-2 kHz
600,127551.769770003,91893.4966283854,156463.316398494,Pasture,1-2 kHz
610,84999.1985946657,76928.8022195724,120027.293284554,Pasture,1-2 kHz
620,98661.921517565,68637.5659940982,124799.23989095,Pasture,1-2 kHz
630,91352.687876121,89716.2340860449,134040.989264946,Pasture,1-2 kHz
640,70801.0821786391,99611.6138859395,117066.114752854,Natural_Regeneration,1-2 kHz
650,70991.3493258001,94832.0413317032,102146.344913999,Natural_Regeneration,1-2 kHz
660,81855.6723550946,82874.7445323805,114595.350436538,Natural_Regeneration,1-2 kHz
670,73637.2937617376,82408.9955528537,121392.292144503,Natural_Regeneration,1-2 kHz
680,85443.2590097694,117228.790163423,114040.823967687,Natural_Regeneration,1-2 kHz
690,68113.5006100411,94121.9376104752,111980.577643255,Natural_Regeneration,1-2 kHz
700,100169.161936581,101033.202449864,130593.909655496,Natural_Regeneration,1-2 kHz
710,92008.1601247289,98264.9409644501,114088.518660052,Natural_Regeneration,1-2 kHz
720,79615.4454347388,94493.6201078378,94454.0954854023,Natural_Regeneration,1-2 kHz
730,72716.1766154829,64603.6477079539,93081.8202124443,Pasture,1-2 kHz
740,69218.1341474114,92663.1012699758,102479.03128102,Natural_Regeneration,1-2 kHz
750,77236.6708514103,80742.4111142265,117396.210698557,Natural_Regeneration,1-2 kHz
760,90018.6504870068,70617.8583400557,123707.275632704,Pasture,1-2 kHz
770,86715.291350218,89277.4316725163,105618.520622216,Natural_Regeneration,1-2 kHz
780,57340.6570770347,61946.9862051925,86314.0708664023,Natural_Regeneration,1-2 kHz
790,51974.9744883617,77846.4392835139,63719.9046907851,Natural_Regeneration,1-2 kHz
800,49949.6996734308,109316.425198364,75022.108240772,Natural_Regeneration,1-2 kHz
810,69762.8576579818,85191.4258511929,81428.4645304645,Natural_Regeneration,1-2 kHz
820,56780.1756974601,98338.0926084554,80001.2967816109,Natural_Regeneration,1-2 kHz
830,60857.0766485593,102440.731451765,81738.1522931584,Natural_Regeneration,1-2 kHz
840,52336.8006317965,115207.458073287,80154.142148094,Natural_Regeneration,1-2 kHz
850,61399.5123136238,137691.111544476,87449.0127771899,Natural_Regeneration,1-2 kHz
860,72578.2263460795,89326.2315091539,90977.4041259154,Natural_Regeneration,1-2 kHz
870,71293.2713521014,71140.9946065348,93921.3777677731,Pasture,1-2 kHz
880,57285.1044711436,73865.9240553032,84728.3602512723,Natural_Regeneration,1-2 kHz
890,56680.6795944035,71384.9909470787,89829.4362993247,Natural_Regeneration,1-2 kHz
900,52841.4316896024,66464.3128747227,81934.0342687514,Natural_Regeneration,1-2 kHz
910,42239.6197002913,86440.6271384215,75264.7503062215,Natural_Regeneration,1-2 kHz
920,55335.8934286213,66324.9195134402,89388.7347791375,Natural_Regeneration,1-2 kHz
930,29132.7595296998,82337.2191768449,80682.905266001,Natural_Regeneration,1-2 kHz
940,48668.3572603263,78667.8175583891,87621.8837738387,Natural_Regeneration,1-2 kHz
950,84923.509105333,64773.3387900242,111358.111886326,Pasture,1-2 kHz
960,84757.7603452597,73034.8854154484,112244.833120547,Pasture,1-2 kHz
970,75158.4759222181,94342.5726949303,105884.455692685,Natural_Regeneration,1-2 kHz
980,73259.2794375182,101658.768714454,96005.1927876004,Natural_Regeneration,1-2 kHz
990,73924.5294708463,85126.5089104513,98038.6885011962,Natural_Regeneration,1-2 kHz
1000,104837.89998368,56192.3014301115,127643.527827936,Pasture,1-2 kHz
1010,81304.0384420863,57780.056623737,108190.05003427,Pasture,1-2 kHz
1020,70536.6987895381,44585.8659522792,97724.5555691571,Pasture,1-2 kHz
1030,81738.0934051898,51596.0147951087,98443.6889222006,Pasture,1-2 kHz
1040,66312.0703499567,63942.2734287646,101154.851785065,Pasture,1-2 kHz
1050,50195.3781197586,70705.1283912584,76042.2527731924,Natural_Regeneration,1-2 kHz
1060,67386.1065403467,56346.4082261162,85163.7893673306,Pasture,1-2 kHz
1070,43497.1717147952,83760.621237355,77117.6942577358,Natural_Regeneration,1-2 kHz
1080,62146.0526838977,60933.3845520904,100380.086386607,Pasture,1-2 kHz
1090,47985.5247566669,84496.9661081164,75593.8510188817,Natural_Regeneration,1-2 kHz
1100,73678.4626019938,132547.954252364,81906.8628683389,Natural_Regeneration,1-2 kHz
1110,69571.3340944904,180335.533727069,72064.4734832971,Natural_Regeneration,1-2 kHz
1120,70253.9112733161,158065.443914313,64121.5855580861,Plantation,1-2 kHz
1130,68625.0744582038,163837.10746956,61321.7087552902,Plantation,1-2 kHz
1140,76191.4167340049,145985.275300877,84291.6771319968,Natural_Regeneration,1-2 kHz
1150,63376.8873249534,139868.14136806,80291.2900347047,Natural_Regeneration,1-2 kHz
1160,76208.0239562129,120265.374095057,80066.5214418507,Natural_Regeneration,1-2 kHz
1170,65764.0509779964,149263.789060751,69659.6687744589,Natural_Regeneration,1-2 kHz
1180,50687.4346660325,159292.587906804,47261.5079248987,Plantation,1-2 kHz
1190,52040.0649404416,168984.781043986,46742.5341837232,Plantation,1-2 kHz
1200,52748.9849372055,155025.747922951,49230.0072732179,Plantation,1-2 kHz
1210,57036.7827396992,163661.108555781,47530.811745759,Plantation,1-2 kHz
1220,59400.2131873983,150932.643718927,45409.9560421526,Plantation,1-2 kHz
1230,53682.7475925081,142152.794282496,42716.2151386404,Plantation,1-2 kHz
1240,69823.4679228522,128001.950803049,60634.0799434592,Plantation,1-2 kHz
1250,70085.3202051251,129817.809980407,55906.8917476172,Plantation,1-2 kHz
1260,76445.9507244022,120842.933763565,56842.1302094365,Plantation,1-2 kHz
1270,68990.2226245084,137488.838908153,49436.9781445414,Plantation,1-2 kHz
1280,78886.8965748556,113627.472530798,60796.4687661434,Plantation,1-2 kHz
1290,61871.2988832428,129059.311841569,40579.9489570326,Plantation,1-2 kHz
1300,59167.3620506827,140860.123017638,35693.08346282,Plantation,1-2 kHz
1310,59193.3914421997,151820.76686994,40096.323523808,Plantation,1-2 kHz
1320,54587.3115957305,130648.784293878,36395.3829797488,Plantation,1-2 kHz
1330,63616.4600644382,143719.427155019,41738.4712546038,Plantation,1-2 kHz
1340,72378.3285103996,126841.881144209,49058.8502746046,Plantation,1-2 kHz
1350,87324.0285120459,95118.737260776,64922.2306374284,Plantation,1-2 kHz
1360,70089.0894132571,123614.543383892,55267.8451027401,Plantation,1-2 kHz
1370,64036.7876930048,115809.854167181,42864.4909044989,Plantation,1-2 kHz
1380,66501.2437920535,114067.511517804,43639.6096290417,Plantation,1-2 kHz
1390,58550.8666186923,119611.720451437,40575.8546224734,Plantation,1-2 kHz
1400,66387.3354647815,98594.4828397067,48484.5142113521,Plantation,1-2 kHz
1410,61690.7450741832,79988.1697847197,47520.4132878423,Plantation,1-2 kHz
1420,52887.3888509113,91578.1816158674,37780.6754444915,Plantation,1-2 kHz
1430,51854.0347236546,63745.3000717881,41454.2427069209,Plantation,1-2 kHz
1440,55248.1483181695,72753.7874334244,44406.1715722666,Plantation,1-2 kHz
0,15285.6184380635,75077.357986604,18424.339630783,Natural_Regeneration,2-3 kHz
10,20543.0748141121,76084.4084546983,21419.8358576164,Natural_Regeneration,2-3 kHz
20,17368.2063832693,73042.1694032407,22811.7459396713,Natural_Regeneration,2-3 kHz
30,23810.7500201452,79795.3493297866,27081.6272449295,Natural_Regeneration,2-3 kHz
40,18877.5968981871,94427.0694872189,26659.2464430495,Natural_Regeneration,2-3 kHz
50,17297.2475456663,83171.0689012176,29248.7507649225,Natural_Regeneration,2-3 kHz
60,21717.775756743,79770.1678498098,27733.9673300494,Natural_Regeneration,2-3 kHz
70,27490.8185511836,57076.6766596691,27186.4938585838,Plantation,2-3 kHz
80,24133.2593257002,78629.4730253219,29913.2328698663,Natural_Regeneration,2-3 kHz
90,28083.4124595484,74456.7840793739,30321.032171855,Natural_Regeneration,2-3 kHz
100,20268.6266643565,58685.0028004571,25152.3336991082,Natural_Regeneration,2-3 kHz
110,21626.2016893267,44734.5810377091,21123.7665855187,Plantation,2-3 kHz
120,28815.3320488166,38881.3412640822,17558.4813338777,Plantation,2-3 kHz
130,23379.7053001342,62504.3927217116,18416.5377244875,Plantation,2-3 kHz
140,19958.8663940768,68423.8861358826,13381.0696305308,Plantation,2-3 kHz
150,21578.260028952,72921.2383892351,21878.1501239818,Natural_Regeneration,2-3 kHz
160,21686.3745521418,73378.5274864437,14682.8238514326,Plantation,2-3 kHz
170,18997.9940642468,58260.5726960329,16730.777613402,Plantation,2-3 kHz
180,14213.3390066971,59149.3989329754,13469.6785589334,Plantation,2-3 kHz
190,15937.3052234342,64443.5887263583,16134.5702577872,Natural_Regeneration,2-3 kHz
200,25207.4379575349,68094.2990931555,18306.8458415887,Plantation,2-3 kHz
210,19107.3502642986,42370.2502914933,21529.3197364667,Natural_Regeneration,2-3 kHz
220,17063.1549217062,70754.1110403048,21130.6702587269,Natural_Regeneration,2-3 kHz
230,21973.1655857558,83124.8419811121,16927.4700628755,Plantation,2-3 kHz
240,31598.6151670491,79861.7139999145,15424.3690585222,Plantation,2-3 kHz
250,38848.4735853858,60352.9494440699,14772.9043165275,Plantation,2-3 kHz
260,46126.3377447189,59432.3686629488,17148.401901146,Plantation,2-3 kHz
270,58893.3113965859,83477.1055487482,34224.730868688,Plantation,2-3 kHz
280,42952.8619746555,33584.7193898036,39864.5740768849,Pasture,2-3 kHz
290,44606.0133590149,69749.0008899959,63938.4356391533,Natural_Regeneration,2-3 kHz
300,79970.6601586501,319932.343872107,75482.0059998355,Plantation,2-3 kHz
310,222159.194696983,223981.160893011,318760.90782292,Natural_Regeneration,2-3 kHz
320,347149.823859931,294547.334365933,448622.680199258,Pasture,2-3 kHz
330,301587.963302349,265665.537532865,374014.546040359,Pasture,2-3 kHz
340,260396.869357136,191826.600657703,284743.972718387,Pasture,2-3 kHz
350,231504.360915164,150831.05539048,241383.2602318,Pasture,2-3 kHz
360,237317.796647922,163953.930542479,246604.67515882,Pasture,2-3 kHz
370,248216.920967786,141453.868283464,271985.754707587,Pasture,2-3 kHz
380,246320.967445051,162359.611145518,265813.294435415,Pasture,2-3 kHz
390,248446.613037296,180574.158620101,277070.497202636,Pasture,2-3 kHz
400,256857.952267246,185822.171842987,277410.205247066,Pasture,2-3 kHz
410,235865.791133616,171897.374833348,255972.157092257,Pasture,2-3 kHz
420,251369.701955876,194894.916208144,295818.93746042,Pasture,2-3 kHz
430,222320.322941294,154296.164706275,243755.734004964,Pasture,2-3 kHz
440,229100.241851255,143847.712892298,258818.608132044,Pasture,2-3 kHz
450,255226.83253724,181041.906363337,265218.510495243,Pasture,2-3 kHz
460,223310.66924596,152404.757335002,228521.136207387,Pasture,2-3 kHz
470,242033.685561127,189004.571774846,234155.438939982,Pasture,2-3 kHz
480,226834.715408646,207757.690406179,242624.935532469,Pasture,2-3 kHz
490,165222.050918926,173657.51526998,205662.275470217,Natural_Regeneration,2-3 kHz
500,151292.626528313,163349.112655264,171098.468839985,Natural_Regeneration,2-3 kHz
510,190059.414603947,145879.862097441,222602.349101384,Pasture,2-3 kHz
520,166126.42679946,146877.866896292,205150.223310721,Pasture,2-3 kHz
530,199418.425928348,157068.960159218,232150.334157213,Pasture,2-3 kHz
540,144590.792954646,121932.506966493,189076.573932982,Pasture,2-3 kHz
550,151320.468087631,139378.976206145,158555.250736085,Pasture,2-3 kHz
560,171286.054600247,158303.902934407,189604.478118281,Pasture,2-3 kHz
570,177776.604614494,143905.215734705,205180.711689863,Pasture,2-3 kHz
