Site,MicType,Type,Latitude,Longitude
PSA0400-2013,Gen1.1,Plantation,10.013978,-85.441603
PSA0401-2011,Gen1.2,Plantation,10.349981,-85.606619
PSA0418-2013,Gen1.1,Natural_Regeneration,10.132322,-85.4932
PSA0429-2012,Gen1.1,Plantation,10.061398,-85.49633
PSA0431-2013,Gen1.1,Natural_Regeneration,9.769693,-84.968224
PSA0483-2013,Gen1.1,Plantation,9.984975,-85.500986
RefForest1,Gen1.2,Reference_Forest,9.781682,-84.929703
RefForest10,Gen1.2,Reference_Forest,10.130953,-85.443589
RefForest11,Gen1.2,Reference_Forest,10.288491,-85.58583
RefForest12,Gen1.2,Reference_Forest,10.190503,-85.597397
RefForest13,Gen1.2,Reference_Forest,10.201002,-85.601973
RefForest14,Gen1.2,Reference_Forest,10.196744,-85.608737
RefForest15,Gen1.2,Reference_Forest,10.324198,-85.721857
RefForest16,Gen1.2,Reference_Forest,10.367994,-85.793354
RefForest17,Gen1.2,Reference_Forest,10.342749,-85.851379
RefForest18,Gen1.2,Reference_Forest,10.394641,-85.816081
RefForest19,Gen1.2,Reference_Forest,10.240592,-85.549164
RefForest4,Gen1.2,Reference_Forest,9.930764,-85.008129
RefForest5,Gen1.2,Reference_Forest,10.173025,-85.362946
RefForest6,Gen1.2,Reference_Forest,9.954842,-85.20542
RefForest7,Gen1.2,Reference_Forest,9.891859,-84.956505
RefForest8.1,Gen1.1,Reference_Forest,9.900216,-85.511873
RefForest8.2,Gen1.2,Reference_Forest,10.130734,-85.462651
RefForest9,Gen1.2,Reference_Forest,10.128029,-85.455111
