Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
66	Spectrogram 1	1	15927.210642867	15927.439597459	1855.124	2194.346	0.2290	339.223	-73.13	Birds
67	Spectrogram 1	1	15927.710180159	15927.765684303	2056.537	3000.000	0.0555	943.463	-70.99	Birds
68	Spectrogram 1	1	15926.579283234	15926.870679988	2130.742	2406.360	0.2914	275.618	-71.15	Birds
69	Spectrogram 1	1	15930.624147695	15930.971048592	561.837	1049.470	0.3469	487.633	-69.11	Birds
70	Spectrogram 1	1	15931.206941202	15931.401205704	604.240	954.064	0.1943	349.823	-69.45	Birds
71	Spectrogram 1	1	15928.868829155	15929.139411855	657.244	1049.470	0.2706	392.226	-69.38	Birds
72	Spectrogram 1	1	15929.389180501	15929.604259057	593.640	985.866	0.2151	392.226	-69.29	Birds
73	Spectrogram 1	1	15927.807312410	15927.987700877	773.852	1197.880	0.1804	424.028	-70.82	Birds
74	Spectrogram 1	1	15928.501114204	15928.605184474	848.057	1155.477	0.1041	307.420	-69.39	Birds
75	Spectrogram 1	1	15929.194915999	15929.451622663	1823.322	2321.555	0.2567	498.233	-70.73	v
76	Spectrogram 1	1	15929.514064824	15929.645887165	2618.375	3169.611	0.1318	551.237	-73.28	Birds
77	Spectrogram 1	1	15928.757820868	15929.083907712	2618.375	3561.837	0.3261	943.463	-72.84	Birds
78	Spectrogram 1	1	15927.918320697	15928.292973666	2618.375	3307.420	0.3747	689.046	-73.13	Birds
79	Spectrogram 1	1	15927.862816554	15928.001576913	3752.650	4091.873	0.1388	339.223	-73.95	Birds
80	Spectrogram 1	1	15927.370217280	15927.439597459	2236.749	2692.580	0.0694	455.830	-72.54	Birds
81	Spectrogram 1	1	15926.405832786	15926.530717109	4399.293	5427.562	0.1249	1028.269	-76.13	Birds
82	Spectrogram 1	1	15927.696304123	15927.814250428	5642.802	8102.166	0.1179	2459.364	-66.30	Birds
83	Spectrogram 1	1	15928.972899425	15929.097783748	4943.156	5971.424	0.1249	1028.269	-76.58	Birds
84	Spectrogram 1	1	15932.313063452	15932.542018045	1579.505	2120.141	0.2290	540.636	-71.66	Birds
85	Spectrogram 1	1	15932.576708134	15933.256633893	636.042	1038.869	0.6799	402.827	-68.91	Birds
86	Spectrogram 1	1	15934.415282889	15935.122960719	583.039	975.265	0.7077	392.226	-69.34	Birds
87	Spectrogram 1	1	15934.345902710	15934.678927571	2162.544	2724.382	0.3330	561.837	-71.52	Birds
88	Spectrogram 1	1	15934.651175499	15934.803811894	2130.742	2957.597	0.1526	826.855	-67.06	Birds
89	Spectrogram 1	1	15934.852378019	15935.046642522	2162.544	3021.201	0.1943	858.657	-73.80	Birds
90	Spectrogram 1	1	15933.693729023	15934.068381992	1865.724	2469.965	0.3747	604.240	-72.25	Birds
91	Spectrogram 1	1	15933.145625606	15933.575782718	1886.926	2681.979	0.4302	795.053	-74.93	Birds
92	Spectrogram 1	1	15932.479575883	15932.784848673	1876.872	2306.156	0.3053	429.285	-72.53	Birds
93	Spectrogram 1	1	15930.065145639	15930.564682931	3963.394	4352.745	0.4995	389.351	-77.31	Birds
94	Spectrogram 1	1	15935.096219826	15935.248856221	1816.972	2206.323	0.1526	389.351	-70.36	Birds
95	Spectrogram 1	1	15935.484748831	15935.838587746	1946.755	2445.923	0.3538	499.168	-72.36	Birds
96	Spectrogram 1	1	15936.213240715	15936.657273863	1846.922	2405.990	0.4440	559.068	-74.36	Birds
97	Spectrogram 1	1	15936.712778007	15937.413517819	658.902	1008.319	0.7007	349.418	-68.68	Birds
98	Spectrogram 1	1	15937.295571514	15937.552278178	2026.622	2895.175	0.2567	868.552	-72.92	Birds
99	Spectrogram 1	1	15937.642472411	15937.718790609	2126.456	2625.624	0.0763	499.168	-71.71	Birds
100	Spectrogram 1	1	15937.746542680	15937.906117093	1397.671	2256.240	0.1596	858.569	-68.99	Birds
101	Spectrogram 1	1	15935.290484329	15935.394554598	5851.989	7938.511	0.1041	2086.522	-72.76	Birds
102	Spectrogram 1	1	15937.170687191	15937.330261604	4604.068	5772.122	0.1596	1168.053	-76.66	Birds
103	Spectrogram 1	1	15939.343719347	15939.447789617	2046.589	3124.792	0.1041	1078.203	-65.40	Birds
104	Spectrogram 1	1	15940.134653393	15940.252599698	2136.439	3104.825	0.1179	968.386	-73.11	Birds
105	Spectrogram 1	1	15938.642979535	15938.885810163	1846.922	2605.657	0.2428	758.735	-73.60	Birds
106	Spectrogram 1	1	15938.663793589	15939.399223491	648.918	1028.286	0.7354	379.368	-68.19	Birds
107	Spectrogram 1	1	15940.509306362	15941.223922210	658.902	988.353	0.7146	329.451	-67.69	Birds
108	Spectrogram 1	1	15944.466701208	15945.111936876	698.835	978.369	0.6452	279.534	-67.42	Birds
109	Spectrogram 1	1	15939.589274594	15939.686406845	1317.804	2016.639	0.0971	698.835	-73.47	Birds
110	Spectrogram 1	1	15939.783539096	15939.908423419	1806.988	2256.240	0.1249	449.251	-75.18	Birds
