Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	21646.290455712	21649.287679463	9837.456	10685.512	2.9972	848.057	-74.80	Insects
2	Spectrogram 1	1	21602.351988083	21602.483810423	4070.671	4664.311	0.1318	593.640	-70.64	Birds
3	Spectrogram 1	1	21602.608694746	21602.844587356	4028.269	5151.943	0.2359	1123.675	-72.44	Birds
4	Spectrogram 1	1	21602.941719608	21603.115170056	4007.067	5385.159	0.1735	1378.092	-66.31	Birds
5	Spectrogram 1	1	21602.497686459	21602.608694746	2416.961	3286.219	0.1110	869.258	-65.76	Birds
6	Spectrogram 1	1	21602.657260872	21602.761331141	2586.572	3540.636	0.1041	954.064	-66.64	Birds
7	Spectrogram 1	1	21602.823773303	21602.941719608	2565.371	3519.435	0.1179	954.064	-66.50	Birds
8	Spectrogram 1	1	21602.927843572	21603.004161769	2289.753	3371.025	0.0763	1081.272	-63.70	Birds
9	Spectrogram 1	1	21603.156798164	21603.281682487	3752.650	4197.880	0.1249	445.230	-73.39	Birds
10	Spectrogram 1	1	21603.406566810	21603.462070953	3498.233	4939.929	0.0555	1441.696	-72.33	Birds
11	Spectrogram 1	1	21603.566141222	21603.649397438	3604.240	5151.943	0.0833	1547.703	-73.61	Birds
12	Spectrogram 1	1	21603.760405725	21603.829785904	3773.852	4197.880	0.0694	424.028	-71.85	Birds
13	Spectrogram 1	1	21603.954670227	21604.086492568	3646.643	4770.318	0.1318	1123.675	-71.48	Birds
14	Spectrogram 1	1	21603.358000684	21603.455132935	2544.170	3328.622	0.0971	784.452	-66.93	Birds
15	Spectrogram 1	1	21603.531451133	21603.600831312	2332.155	3413.428	0.0694	1081.272	-64.69	Birds
16	Spectrogram 1	1	21603.718777617	21603.829785904	2438.163	3477.032	0.1110	1038.869	-65.35	Birds
17	Spectrogram 1	1	21604.551339770	21605.175761385	3095.406	3667.845	0.6244	572.438	-66.76	Birds
18	Spectrogram 1	1	21604.266881035	21604.329323196	4091.873	4727.915	0.0624	636.042	-68.31	Birds
19	Spectrogram 1	1	21604.468083555	21604.523587699	4219.081	4833.922	0.0555	614.841	-67.65	Birds
20	Spectrogram 1	1	21604.197500855	21604.259943017	2777.385	3646.643	0.0624	869.258	-67.56	Birds
21	Spectrogram 1	1	21604.384827340	21604.475021573	2628.975	3773.852	0.0902	1144.876	-66.58	Birds
22	Spectrogram 1	1	21604.280757071	21604.370951304	2395.760	3159.011	0.0902	763.251	-65.02	Birds
23	Spectrogram 1	1	21605.238203547	21605.411653995	2925.795	3498.233	0.1735	572.438	-66.97	 Birds
24	Spectrogram 1	1	21605.522662282	21605.730802820	2014.134	2862.191	0.2081	848.057	-61.62	Birds
25	Spectrogram 1	1	21606.223402094	21606.376038489	2459.364	3583.039	0.1526	1123.675	-59.88	Birds
26	Spectrogram 1	1	21606.258092184	21606.473170740	1886.926	3116.608	0.2151	1229.682	-58.54	Birds
27	Spectrogram 1	1	21606.292782274	21606.507860830	3243.816	4346.290	0.2151	1102.473	-67.45	Birds
28	Spectrogram 1	1	21606.459294704	21606.764567494	2183.746	3795.053	0.3053	1611.307	-58.30	Birds
29	Spectrogram 1	1	21605.494910210	21605.703050749	3286.219	4197.880	0.2081	911.661	-73.23	Birds
30	Spectrogram 1	1	21605.834873090	21605.945881377	3773.852	4240.283	0.1110	466.431	-74.58	Birds
31	Spectrogram 1	1	21606.691226726	21606.823049066	4028.269	5067.138	0.1318	1038.869	-73.53	Birds
32	Spectrogram 1	1	21607.255677987	21607.318120148	4070.671	4961.131	0.0624	890.459	-73.50	Birds
33	Spectrogram 1	1	21607.401042225	21607.543313892	4197.666	5022.207	0.1423	824.541	-74.35	Birds
34	Spectrogram 1	1	21607.469725099	21607.597279007	2758.466	3478.066	0.1276	719.600	-67.43	Birds
35	Spectrogram 1	1	21608.161459753	21608.225236707	3508.049	4557.466	0.0638	1049.416	-70.50	Birds
36	Spectrogram 1	1	21608.225236707	21608.347884696	3043.308	3957.799	0.1226	914.491	-70.84	Birds
37	Spectrogram 1	1	21610.749436556	21610.940767418	1529.150	2188.783	0.1913	659.633	-59.32	Birds
38	Spectrogram 1	1	21610.685659602	21610.940767418	1784.008	3088.283	0.2551	1304.275	-58.71	Birds
39	Spectrogram 1	1	21610.690565522	21610.950579257	2698.499	4272.624	0.2600	1574.125	-61.92	Birds
40	Spectrogram 1	1	21610.646412246	21610.827931269	3957.799	4977.232	0.1815	1019.433	-72.20	Birds
41	Spectrogram 1	1	21610.862272705	21611.053603567	4227.649	6011.657	0.1913	1784.008	-71.77	Birds
42	Spectrogram 1	1	21610.739624717	21610.876990464	6908.206	8242.464	0.1374	1334.258	-76.18	Birds
43	Spectrogram 1	1	21611.490230406	21611.715902704	1394.225	2398.666	0.2257	1004.441	-59.44	Birds
44	Spectrogram 1	1	21611.441171210	21611.784585578	2068.850	3777.899	0.3434	1709.050	-57.43	Birds
45	Spectrogram 1	1	21611.509854084	21611.696279026	4137.699	4962.241	0.1864	824.541	-66.70	Birds
46	Spectrogram 1	1	21611.966104601	21612.088752589	2713.491	4317.599	0.1226	1604.108	-66.36	Birds
47	Spectrogram 1	1	21613.035595059	21613.207302243	2773.458	3822.874	0.1717	1049.416	-66.85	Birds
48	Spectrogram 1	1	21615.644877745	21615.792055331	4152.691	4827.316	0.1472	674.625	-69.11	Birds
49	Spectrogram 1	1	21615.939232917	21616.169811136	3792.891	5217.099	0.2306	1424.208	-70.94	Birds
50	Spectrogram 1	1	21616.263023607	21616.444542630	3867.849	5636.865	0.1815	1769.016	-69.78	Birds
51	Spectrogram 1	1	21616.523037342	21616.606437974	3867.849	4167.682	0.0834	299.833	-67.51	Birds
