Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	35580.000000000	35591.544861856	9031.802	9795.053	11.5449	763.251	-68.54	Insects
2	Spectrogram 1	1	35593.876035885	35602.645690564	9116.608	9837.456	8.7697	720.848	-67.10	Insects
3	Spectrogram 1	1	35604.421823158	35630.286754047	9328.622	9879.859	25.8649	551.237	-67.24	Insects
4	Spectrogram 1	1	35632.007382497	35639.167417014	8904.594	9752.650	7.1600	848.057	-67.91	Insects
5	Spectrogram 1	1	35587.241137234	35587.780788383	1844.523	2480.565	0.5397	636.042	-70.51	Birds
6	Spectrogram 1	1	35587.594363440	35587.839659417	2501.767	2989.399	0.2453	487.633	-71.46	Birds
7	Spectrogram 1	1	35589.890333783	35590.488855966	1696.113	2268.551	0.5985	572.438	-71.72	Birds
8	Spectrogram 1	1	35588.192885624	35588.349875049	2544.170	3265.018	0.1570	720.848	-73.89	Birds
9	Spectrogram 1	1	35586.171646775	35586.299200683	2692.580	3286.219	0.1276	593.640	-73.79	Birds
10	Spectrogram 1	1	35584.562505168	35584.690059076	2162.544	2968.198	0.1276	805.654	-72.81	Birds
11	Spectrogram 1	1	35582.109545400	35582.335217699	1929.329	3116.608	0.2257	1187.279	-72.45	Birds
12	Spectrogram 1	1	35580.578898505	35580.706452413	1844.523	3519.435	0.1276	1674.912	-73.38	Birds
13	Spectrogram 1	1	35590.165626911	35590.744525417	2353.357	2734.982	0.5789	381.625	-73.65	Birds
14	Spectrogram 1	1	35592.618586679	35592.952189207	1802.120	2289.753	0.3336	487.633	-71.03	Birds
15	Spectrogram 1	1	35594.059787360	35594.746616095	1759.717	2098.940	0.6868	339.223	-72.36	Birds
16	Spectrogram 1	1	35594.746616095	35595.090030462	2014.134	2883.392	0.3434	869.258	-70.37	Birds
17	Spectrogram 1	1	35595.266643566	35595.982907818	1908.127	2416.961	0.7163	508.834	-72.52	Birds
18	Spectrogram 1	1	35596.473499771	35596.571618162	1950.530	3349.823	0.0981	1399.293	-71.33	Birds
19	Spectrogram 1	1	35597.981985884	35598.708061976	1738.516	2332.155	0.7261	593.640	-71.89	Birds
20	Spectrogram 1	1	35600.542875882	35601.013844157	1653.710	2247.350	0.4710	593.640	-71.01	Birds
21	Spectrogram 1	1	35600.935349445	35601.219892778	1971.731	2480.565	0.2845	508.834	-72.72	Birds
22	Spectrogram 1	1	35601.724027544	35602.263678692	1568.905	2247.350	0.5397	678.445	-70.80	Birds
23	Spectrogram 1	1	35603.732097970	35604.242313601	1823.322	2862.191	0.5102	1038.869	-70.69	Birds
24	Spectrogram 1	1	35607.513831943	35607.925929184	1992.933	2883.392	0.4121	890.459	-69.96	Birds
25	Spectrogram 1	1	35613.494682371	35613.759602026	1484.099	2798.587	0.2649	1314.488	-68.81	Birds
26	Spectrogram 1	1	35615.044952944	35615.221566047	2332.155	3540.636	0.1766	1208.481	-69.99	Birds
27	Spectrogram 1	1	35615.302144644	35615.468945908	2305.317	3149.228	0.1668	843.911	-70.43	Birds
28	Spectrogram 1	1	35619.256315789	35619.324998662	1543.739	2984.563	0.0687	1440.823	-69.44	Birds
29	Spectrogram 1	1	35622.219491188	35622.719894981	1749.571	2449.400	0.5004	699.828	-69.30	Birds
30	Spectrogram 1	1	35629.986853337	35630.860107014	4729.642	5237.785	0.8733	508.143	-75.70	Birds
31	Spectrogram 1	1	35626.837252995	35626.925559547	2188.925	3635.179	0.0883	1446.254	-69.97	Birds
