Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	2520.007586051	2520.125328120	2324.607	3685.864	0.1177	1361.257	-70.09	Birds
2	Spectrogram 1	1	2520.625731912	2520.684602947	3790.576	4565.445	0.0589	774.869	-66.65	Birds
3	Spectrogram 1	1	2520.728756223	2520.861216050	2722.513	3183.246	0.1325	460.733	-61.66	Birds
4	Spectrogram 1	1	2520.924993004	2521.199724498	2031.414	4691.099	0.2747	2659.686	-70.86	Birds
5	Spectrogram 1	1	2521.940518348	2522.112225532	3685.864	5696.335	0.1717	2010.471	-64.12	Birds
6	Spectrogram 1	1	2522.406580704	2522.622441163	2617.801	3790.576	0.2159	1172.775	-56.12	Birds
7	Spectrogram 1	1	2522.077884095	2522.465451738	3958.115	5675.393	0.3876	1717.277	-61.32	Birds
8	Spectrogram 1	1	2522.583193807	2522.720559554	5717.277	6031.414	0.1374	314.136	-68.71	Birds
9	Spectrogram 1	1	2522.715653634	2522.818677945	3895.288	5214.660	0.1030	1319.372	-69.63	Birds
10	Spectrogram 1	1	2522.848113462	2522.965855531	3225.131	4293.194	0.1177	1068.063	-57.34	Birds
11	Spectrogram 1	1	2522.857925301	2522.990385128	2848.168	3204.188	0.1325	356.021	-59.63	Birds
12	Spectrogram 1	1	2522.627347083	2522.784336508	2136.126	2931.937	0.1570	795.812	-58.07	Birds
13	Spectrogram 1	1	2522.813772025	2522.882454899	4837.696	5277.487	0.0687	439.791	-71.12	Birds
14	Spectrogram 1	1	2522.926608174	2523.010008806	4963.351	5298.429	0.0834	335.079	-69.89	Birds
15	Spectrogram 1	1	2523.049256163	2523.103221278	5026.178	5465.969	0.0540	439.791	-67.98	Birds
16	Spectrogram 1	1	2523.005102887	2523.127750875	3015.707	3790.576	0.1226	774.869	-64.76	Birds
17	Spectrogram 1	1	2521.572574383	2521.651069095	4963.351	5340.314	0.0785	376.963	-74.06	Birds
18	Spectrogram 1	1	2521.695222371	2521.734469727	4900.524	5403.141	0.0392	502.618	-70.01	Birds
19	Spectrogram 1	1	2521.803152601	2521.862023635	4879.581	5277.487	0.0589	397.906	-71.09	Birds
20	Spectrogram 1	1	2522.931514094	2523.039444324	1884.817	3162.304	0.1079	1277.487	-62.95	Birds
21	Spectrogram 1	1	2523.024726565	2523.245492944	2324.607	3078.534	0.2208	753.927	-59.46	Birds
22	Spectrogram 1	1	2523.019820646	2523.211151507	2952.880	5089.005	0.1913	2136.126	-64.65	Birds
23	Spectrogram 1	1	2523.485883001	2523.682119783	2534.031	3832.461	0.1962	1298.429	-70.82	Birds
24	Spectrogram 1	1	2523.211151507	2523.461353404	2408.377	3623.037	0.2502	1214.660	-67.92	Birds
25	Spectrogram 1	1	2523.799861852	2524.879164149	3685.864	5863.874	1.0793	2178.010	-62.87	Birds
26	Spectrogram 1	1	2520.606108234	2520.723850303	418.848	837.696	0.1177	418.848	-69.26	Domestic mammals
27	Spectrogram 1	1	2521.366525762	2521.518609268	418.848	795.812	0.1521	376.963	-68.34	Domestic mammals
28	Spectrogram 1	1	2522.195626164	2522.293744554	376.963	732.984	0.0981	356.021	-67.36	Domestic mammals
29	Spectrogram 1	1	2522.990385128	2523.113033117	418.848	774.869	0.1226	356.021	-69.48	Domestic mammals
30	Spectrogram 1	1	2523.780238173	2523.922509840	481.675	753.927	0.1423	272.251	-69.11	Domestic mammals
31	Spectrogram 1	1	2523.573979227	2523.765310089	4314.136	5298.429	0.1913	984.293	-74.17	Birds
32	Spectrogram 1	1	2524.392285871	2524.549275296	544.503	858.639	0.1570	314.136	-70.56	Domestic mammals
33	Spectrogram 1	1	2525.449469821	2525.981497684	4949.555	5305.638	0.5320	356.083	-72.54	Birds
34	Spectrogram 1	1	2526.185253036	2526.643702578	4985.163	5341.246	0.4584	356.083	-70.59	Birds
35	Spectrogram 1	1	2528.392602680	2528.958589769	5020.772	5376.855	0.5660	356.083	-73.18	Birds
36	Spectrogram 1	1	2529.591180232	2530.395751036	4985.386	5486.430	0.8046	501.044	-73.12	Birds
37	Spectrogram 1	1	2531.151262644	2531.686007873	5010.438	5361.169	0.5347	350.731	-73.42	Birds
38	Spectrogram 1	1	2531.936209770	2532.225659022	5010.438	5311.065	0.2894	300.626	-71.54	Birds
39	Spectrogram 1	1	2532.632850344	2533.486480343	5035.491	5286.013	0.8536	250.522	-71.28	Birds
40	Spectrogram 1	1	2525.501992025	2525.727664324	2379.958	2881.002	0.2257	501.044	-75.01	Birds
41	Spectrogram 1	1	2525.899371507	2526.066172771	2695.082	3206.557	0.1668	511.475	-74.75	Birds
42	Spectrogram 1	1	2526.174103001	2526.743189667	2911.475	3403.279	0.5691	491.803	-74.41	Birds
43	Spectrogram 1	1	2526.787342943	2526.909990932	2596.721	4150.820	0.1226	1554.098	-72.72	Birds
44	Spectrogram 1	1	2526.929614610	2527.042450759	2380.328	3560.656	0.1128	1180.328	-70.89	Birds
45	Spectrogram 1	1	2527.209252023	2527.356429609	2262.295	3914.754	0.1472	1652.459	-72.09	Birds
46	Spectrogram 1	1	2527.008109322	2527.130757311	3344.262	4111.475	0.1226	767.213	-73.88	Birds
47	Spectrogram 1	1	2527.317182253	2527.420206563	3481.967	4170.492	0.1030	688.525	-68.62	Birds
48	Spectrogram 1	1	2527.326994092	2527.483983517	2557.377	3462.295	0.1570	904.918	-73.14	Birds
49	Spectrogram 1	1	2527.493795356	2527.675314379	2990.164	3737.705	0.1815	747.541	-69.70	Birds
50	Spectrogram 1	1	2527.743997252	2527.861739321	3167.213	3934.426	0.1177	767.213	-71.36	Birds
51	Spectrogram 1	1	2527.979481390	2528.053070183	3265.574	4445.902	0.0736	1180.328	-65.57	Birds
52	Spectrogram 1	1	2528.254212884	2528.450449666	2577.049	3324.590	0.1962	747.541	-69.13	Birds
53	Spectrogram 1	1	2528.023634666	2528.200247769	2636.066	3816.393	0.1766	1180.328	-68.98	Birds
54	Spectrogram 1	1	2528.470073344	2528.622156849	2655.738	3049.180	0.1521	393.443	-70.01	Birds
55	Spectrogram 1	1	2528.926323860	2529.063689607	2695.082	4504.918	0.1374	1809.836	-64.48	Birds
56	Spectrogram 1	1	2529.078407366	2529.372762538	4485.246	5429.508	0.2944	944.262	-67.08	Birds
57	Spectrogram 1	1	2529.603340756	2529.868260411	2104.918	4878.689	0.2649	2773.770	-66.55	Birds
58	Spectrogram 1	1	2529.313891504	2529.568999320	2006.557	4918.033	0.2551	2911.475	-62.33	Birds
59	Spectrogram 1	1	2529.068595527	2529.318797423	3481.967	3954.098	0.2502	472.131	-72.04	Birds
60	Spectrogram 1	1	2529.034254090	2529.323703343	2754.098	3324.590	0.2894	570.492	-72.63	Birds
61	Spectrogram 1	1	2526.458646334	2526.556764725	806.557	1160.656	0.0981	354.098	-71.82	Domestic mammals
62	Spectrogram 1	1	2527.189628345	2527.292652655	747.541	1259.016	0.1030	511.475	-71.01	Domestic mammals
63	Spectrogram 1	1	2528.764428516	2528.887076504	963.934	1239.344	0.1226	275.410	-69.76	Domestic mammals
64	Spectrogram 1	1	2529.470880929	2529.613152595	334.426	826.230	0.1423	491.803	-62.95	Domestic mammals
65	Spectrogram 1	1	2529.928742412	2531.214093330	2872.131	4367.213	1.2854	1495.082	-75.12	Birds
66	Spectrogram 1	1	2531.302399882	2531.547695859	4249.180	4898.361	0.2453	649.180	-70.98	Birds
67	Spectrogram 1	1	2531.920545744	2531.999040456	3836.066	4780.328	0.0785	944.262	-72.26	Birds
68	Spectrogram 1	1	2532.077535169	2532.165841720	2793.443	3855.738	0.0883	1062.295	-71.81	Birds
69	Spectrogram 1	1	2532.244336433	2532.420949536	3757.377	4937.705	0.1766	1180.328	-70.45	Birds
70	Spectrogram 1	1	2532.293395628	2532.489632410	2360.656	4032.787	0.1962	1672.131	-69.55	Birds
71	Spectrogram 1	1	2532.514162007	2532.705492869	2537.705	3167.213	0.1913	629.508	-69.24	Birds
72	Spectrogram 1	1	2532.774175743	2532.980224363	2891.803	3737.705	0.2060	845.902	-70.54	Birds
73	Spectrogram 1	1	2532.896823731	2532.990036202	3560.656	4367.213	0.0932	806.557	-72.84	Birds
74	Spectrogram 1	1	2533.132307869	2533.573840627	2852.459	3265.574	0.4415	413.115	-71.32	Birds
75	Spectrogram 1	1	2534.452000224	2534.564836373	668.852	944.262	0.1128	275.410	-68.59	Domestic mammals
76	Spectrogram 1	1	2534.768851690	2535.548892896	4996.721	5311.475	0.7800	314.754	-71.87	Birds
77	Spectrogram 1	1	2536.196474275	2536.799902377	5055.738	5449.180	0.6034	393.443	-71.55	Birds
78	Spectrogram 1	1	2535.416433069	2535.553798816	3757.377	4642.623	0.1374	885.246	-64.59	Birds
79	Spectrogram 1	1	2534.729604334	2534.847346402	2714.754	4150.820	0.1177	1436.066	-74.07	Birds
80	Spectrogram 1	1	2534.896405598	2535.068112782	4131.148	4563.934	0.1717	432.787	-73.22	Birds
81	Spectrogram 1	1	2535.563610655	2535.705882321	2695.082	3167.213	0.1423	472.131	-60.41	Birds
82	Spectrogram 1	1	2535.750035597	2536.024767091	2163.934	4740.984	0.2747	2577.049	-68.05	Birds
83	Spectrogram 1	1	2536.402522895	2536.638007033	4150.820	4957.377	0.2355	806.557	-66.07	Birds
84	Spectrogram 1	1	2536.696878067	2536.819526056	2065.574	3167.213	0.1226	1101.639	-58.99	Birds
85	Spectrogram 1	1	2536.638007033	2536.794996458	3442.623	4878.689	0.1570	1436.066	-63.28	Birds
86	Spectrogram 1	1	2536.044390769	2536.171944677	2734.426	3481.967	0.1276	747.541	-72.65	Birds
87	Spectrogram 1	1	2536.152320999	2536.270063068	3167.213	3836.066	0.1177	668.852	-66.38	Birds
88	Spectrogram 1	1	2536.216097953	2536.373087378	2776.398	4602.484	0.1570	1826.087	-65.87	Birds
89	Spectrogram 1	1	2536.377993297	2536.466299849	2515.528	3409.938	0.0883	894.410	-67.52	Birds
90	Spectrogram 1	1	2536.584041918	2536.765560941	2236.025	3093.168	0.1815	857.143	-60.30	Birds
