Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4800.000000000	4859.999979167	8630.303	9745.455	60.0000	1115.152	-74.70	Insects
2	Spectrogram 1	1	4800.695792831	4800.814586729	4630.303	5600.000	0.1188	969.697	-77.38	Birds
3	Spectrogram 1	1	4800.000000000	4800.178190847	4024.242	4484.848	0.1782	460.606	-71.55	Birds
4	Spectrogram 1	1	4800.339411137	4800.772160337	509.091	1090.909	0.4327	581.818	-64.74	Birds
5	Spectrogram 1	1	4800.890954235	4801.153997866	557.576	1066.667	0.2630	509.091	-66.64	Birds
6	Spectrogram 1	1	4800.772160337	4801.035203968	1939.394	2327.273	0.2630	387.879	-69.09	Birds
7	Spectrogram 1	1	4801.069145082	4801.230365372	1672.727	3345.455	0.1612	1672.727	-71.27	Birds
8	Spectrogram 1	1	4801.289762321	4801.476438446	1648.485	3418.182	0.1867	1769.697	-70.77	Birds
9	Spectrogram 1	1	4801.467953168	4801.629173458	1769.697	3393.939	0.1612	1624.242	-70.05	Birds
10	Spectrogram 1	1	4801.637658737	4801.807364305	1672.727	3587.879	0.1697	1915.152	-71.74	Birds
11	Spectrogram 1	1	4801.858275976	4802.036466823	1600.000	3321.212	0.1782	1721.212	-69.77	Birds
12	Spectrogram 1	1	4802.672862705	4802.986818007	3660.606	4266.667	0.3140	606.061	-76.24	Birds
13	Spectrogram 1	1	4802.944391615	4803.360170257	484.848	1090.909	0.4158	606.061	-65.24	Birds
14	Spectrogram 1	1	4803.453508320	4803.750493065	630.303	1042.424	0.2970	412.121	-66.42	Birds
15	Spectrogram 1	1	4805.006314272	4805.778474609	557.576	1139.394	0.7722	581.818	-66.75	Birds
16	Spectrogram 1	1	4804.191727543	4804.862064539	242.424	654.545	0.6703	412.121	-61.33	Unknown
17	Spectrogram 1	1	4805.473004586	4805.736048217	3757.576	4484.848	0.2630	727.273	-71.76	Birds
18	Spectrogram 1	1	4805.812415723	4806.185767974	2521.212	2933.333	0.3734	412.121	-74.87	Birds
19	Spectrogram 1	1	4806.143341582	4807.925250052	1672.727	2060.606	1.7819	387.879	-72.68	Birds
20	Spectrogram 1	1	4805.769989331	4806.245164923	290.909	654.545	0.4752	363.636	-63.02	Unknown 
21	Spectrogram 1	1	4807.127633879	4807.560383079	387.879	1066.667	0.4327	678.788	-65.92	Birds
22	Spectrogram 1	1	4807.688503388	4808.002458689	436.364	945.455	0.3140	509.091	-67.77	Birds
23	Spectrogram 1	1	4808.129737866	4808.240046485	775.758	969.697	0.1103	193.939	-65.99	Birds
24	Spectrogram 1	1	4808.647339850	4808.978265709	2812.121	3442.424	0.3309	630.303	-74.38	Birds
25	Spectrogram 1	1	4809.003721544	4809.470411857	3733.333	4872.727	0.4667	1139.394	-68.57	Birds
26	Spectrogram 1	1	4809.207368226	4809.589205755	630.303	1139.394	0.3818	509.091	-64.88	Birds
27	Spectrogram 1	1	4809.758911324	4809.971043285	703.030	1018.182	0.2121	315.152	-64.42	Birds
28	Spectrogram 1	1	4809.750426046	4810.242572194	363.636	630.303	0.4921	266.667	-62.81	Unknown
29	Spectrogram 1	1	4810.446218877	4810.743203622	2618.182	3151.515	0.2970	533.333	-58.57	Birds
30	Spectrogram 1	1	4810.802600571	4810.938365026	1866.667	3127.273	0.1358	1260.606	-61.27	Birds
31	Spectrogram 1	1	4811.091100037	4811.260805606	1890.909	3127.273	0.1697	1236.364	-61.81	Birds
32	Spectrogram 1	1	4811.388084782	4811.608702021	1696.970	3030.303	0.2206	1333.333	-61.84	Birds
33	Spectrogram 1	1	4811.735981198	4811.965083715	1793.939	2909.091	0.2291	1115.152	-62.28	Birds
34	Spectrogram 1	1	4811.778407590	4812.075392335	3781.818	4412.121	0.2970	630.303	-77.81	Birds
35	Spectrogram 1	1	4811.591731464	4811.990539551	703.030	1163.636	0.3988	460.606	-65.19	Birds
36	Spectrogram 1	1	4812.083877613	4812.372377080	703.030	1018.182	0.2885	315.152	-63.72	Birds
37	Spectrogram 1	1	4811.999024829	4812.677847103	363.636	678.788	0.6788	315.152	-61.45	Unknown
38	Spectrogram 1	1	4814.222167777	4815.036754506	678.788	1139.394	0.8146	460.606	-65.48	Birds
39	Spectrogram 1	1	4814.756740318	4815.070695620	387.879	606.061	0.3140	218.182	-62.98	Unknwon
40	Spectrogram 1	1	4813.889056510	4814.270894039	3684.848	3951.515	0.3818	266.667	-77.52	Birds
41	Spectrogram 1	1	4816.358272532	4816.629801442	3757.576	4339.394	0.2715	581.818	-72.54	Birds
42	Spectrogram 1	1	4815.144877717	4816.307360862	2060.606	2642.424	1.1625	581.818	-76.04	Birds
43	Spectrogram 1	1	4818.267460178	4819.794810296	1551.515	2278.788	1.5274	727.273	-72.22	Birds
44	Spectrogram 1	1	4818.301401292	4818.971738288	3006.061	3296.970	0.6703	290.909	-75.16	Birds
45	Spectrogram 1	1	4819.124473300	4819.429943323	3612.121	4096.970	0.3055	484.848	-71.88	Birds
46	Spectrogram 1	1	4816.689198391	4817.427417614	557.576	1139.394	0.7382	581.818	-65.43	Birds
47	Spectrogram 1	1	4818.810517998	4819.489340272	703.030	1018.182	0.6788	315.152	-63.39	Birds
48	Spectrogram 1	1	4822.020763297	4822.555335838	3854.545	4315.152	0.5346	460.606	-72.75	Birds
49	Spectrogram 1	1	4823.403863681	4823.692363147	2521.212	5381.818	0.2885	2860.606	-75.09	Birds
50	Spectrogram 1	1	4822.258351093	4823.429319516	1745.455	2181.818	1.1710	436.364	-70.13	Birds
51	Spectrogram 1	1	4819.967325917	4821.070412113	266.667	581.818	1.1031	315.152	-60.04	Unknown
52	Spectrogram 1	1	4820.985559329	4821.876513564	630.303	1115.152	0.8910	484.848	-63.73	Birds
53	Spectrogram 1	1	4823.251128669	4824.091171233	751.515	921.212	0.8400	169.697	-62.08	Birds
55	Spectrogram 1	1	4819.755193957	4820.018237588	460.606	727.273	0.2630	266.667	-62.60	Domestic mammals
56	Spectrogram 1	1	4821.689837438	4821.935910513	266.667	557.576	0.2461	290.909	-62.92	Domestic mammals
57	Spectrogram 1	1	4822.979599759	4823.335981453	339.394	533.333	0.3564	193.939	-59.75	Unknown
58	Spectrogram 1	1	4824.956669633	4825.380933554	630.303	993.939	0.4243	363.636	-64.39	Domestic mammals
59	Spectrogram 1	1	4822.020763297	4822.249865815	1187.879	1551.515	0.2291	363.636	-71.86	Birds
60	Spectrogram 1	1	4825.248674066	4825.545658811	3806.061	4096.970	0.2970	290.909	-76.83	Birds
61	Spectrogram 1	1	4826.445098325	4827.217258662	703.030	1090.909	0.7722	387.879	-64.08	Birds
62	Spectrogram 1	1	4827.777287038	4827.930022050	315.152	824.242	0.1527	509.091	-63.89	Domestic mammals
63	Spectrogram 1	1	4828.515506261	4829.397975218	703.030	1115.152	0.8825	412.121	-65.47	Birds
64	Spectrogram 1	1	4828.854917398	4829.601621900	387.879	581.818	0.7467	193.939	-59.69	Unknown
65	Spectrogram 1	1	4827.896080936	4828.235492073	3612.121	4121.212	0.3394	509.091	-72.78	Birds
66	Spectrogram 1	1	4830.738649209	4831.451412597	703.030	1090.909	0.7128	387.879	-64.69	Birds
67	Spectrogram 1	1	4830.433078517	4830.823401325	2618.182	3563.636	0.3903	945.455	-75.18	Birds
68	Spectrogram 1	1	4830.865827717	4831.239179968	3224.242	5042.424	0.3734	1818.182	-73.56	Birds
69	Spectrogram 1	1	4831.324032752	4831.637988054	3975.758	4363.636	0.3140	387.879	-74.34	Birds
70	Spectrogram 1	1	4831.985884470	4833.530205144	1696.970	3175.758	1.5443	1478.788	-66.79	Birds
71	Spectrogram 1	1	4830.577328251	4830.738548541	412.121	751.515	0.1612	339.394	-62.19	Domestic mammals
72	Spectrogram 1	1	4833.132570430	4833.828363261	678.788	969.697	0.6958	290.909	-64.32	Birds
73	Spectrogram 1	1	4835.304801707	4836.119388437	703.030	1139.394	0.8146	436.364	-65.64	Birds
74	Spectrogram 1	1	4836.874578217	4837.197018797	3975.758	4509.091	0.3224	533.333	-72.26	Birds
75	Spectrogram 1	1	4837.828550186	4838.227358272	1842.424	2303.030	0.3988	460.606	-74.88	Birds
76	Spectrogram 1	1	4837.497624328	4838.329181613	678.788	1090.909	0.8316	412.121	-65.02	Birds
77	Spectrogram 1	1	4837.387315708	4838.066137982	290.909	654.545	0.6788	363.636	-58.45	Unknown
78	Spectrogram 1	1	4839.983810907	4840.772941801	703.030	1066.667	0.7891	363.636	-66.51	Birds
79	Spectrogram 1	1	4839.915928679	4840.263825095	1890.909	2400.000	0.3479	509.091	-73.28	Birds
80	Spectrogram 1	1	4839.092856672	4839.194680013	3054.545	3345.455	0.1018	290.909	-72.95	Birds
81	Spectrogram 1	1	4840.212913424	4840.492927613	3636.364	4169.697	0.2800	533.333	-76.20	Birds
82	Spectrogram 1	1	4840.662633181	4841.035985432	4218.182	5430.303	0.3734	1212.121	-76.73	Birds
83	Spectrogram 1	1	4842.283321361	4843.030025863	703.030	1066.667	0.7467	363.636	-65.71	Birds
84	Spectrogram 1	1	4841.614852684	4841.767587695	363.636	727.273	0.1527	363.636	-65.92	Domestic mammals
85	Spectrogram 1	1	4843.363182647	4843.651682114	3903.030	4266.667	0.2885	363.636	-75.84	Birds
86	Spectrogram 1	1	4845.119635282	4845.543899203	2909.091	3781.818	0.4243	872.727	-75.65	Birds
87	Spectrogram 1	1	4844.415357172	4845.145091117	630.303	1139.394	0.7297	509.091	-66.28	Birds
88	Spectrogram 1	1	4845.620266709	4846.205750920	315.152	606.061	0.5855	290.909	-60.12	Unknown
89	Spectrogram 1	1	4845.730575329	4846.069986466	3587.879	4775.758	0.3394	1187.879	-74.93	Birds
90	Spectrogram 1	1	4846.697897069	4847.207013775	1915.152	3200.000	0.5091	1284.848	-66.51	Birds
91	Spectrogram 1	1	4847.656733532	4848.403438033	727.273	1163.636	0.7467	436.364	-66.16	Birds
92	Spectrogram 1	1	4848.064026896	4848.420408590	242.424	557.576	0.3564	315.152	-61.57	Unknown
93	Spectrogram 1	1	4845.238429180	4845.552384482	6424.242	6666.667	0.3140	242.424	-80.22	Birds
94	Spectrogram 1	1	4846.053015909	4846.400912324	6109.091	6763.636	0.3479	654.545	-79.42	Birds
95	Spectrogram 1	1	4847.648248253	4848.055541618	6109.091	6690.909	0.4073	581.818	-77.86	Birds
96	Spectrogram 1	1	4847.673704089	4847.919777163	3927.273	4387.879	0.2461	460.606	-75.93	Birds
97	Spectrogram 1	1	4849.992416025	4850.365768276	3951.515	4339.394	0.3734	387.879	-72.72	Birds
98	Spectrogram 1	1	4850.238489100	4850.501532731	2715.152	3563.636	0.2630	848.485	-75.13	Birds
99	Spectrogram 1	1	4850.968223044	4851.273693068	2787.879	3636.364	0.3055	848.485	-74.22	Birds
100	Spectrogram 1	1	4852.156162024	4852.546484832	2739.394	3539.394	0.3903	800.000	-73.26	Birds
101	Spectrogram 1	1	4853.047116259	4853.420468510	3806.061	4339.394	0.3734	533.333	-72.73	Birds
102	Spectrogram 1	1	4853.513806573	4853.878673545	1503.030	2206.061	0.3649	703.030	-75.62	Birds
103	Spectrogram 1	1	4854.761968385	4855.593525671	703.030	1018.182	0.8316	315.152	-67.10	Birds
104	Spectrogram 1	1	4854.855306447	4855.466246494	315.152	557.576	0.6109	242.424	-61.76	Unknown
105	Spectrogram 1	1	4854.125572502	4854.431042526	1842.424	2375.758	0.3055	533.333	-74.55	Birds
106	Spectrogram 1	1	4855.406849545	4856.204465717	2424.242	4145.455	0.7976	1721.212	-71.92	Birds
107	Spectrogram 1	1	4856.331744894	4857.366948862	1769.697	3296.970	1.0352	1527.273	-72.90	Birds
108	Spectrogram 1	1	4857.638477772	4858.682167018	1042.424	1696.970	1.0437	654.545	-43.22	Birds
109	Spectrogram 1	1	4856.764494094	4857.494228038	630.303	1115.152	0.7297	484.848	-64.43	Birds
110	Spectrogram 1	1	4858.436093944	4858.554887842	266.667	1212.121	0.1188	945.455	-66.74	Domestic mammals
111	Spectrogram 1	1	4859.004607599	4859.827679606	557.576	1042.424	0.8231	484.848	-64.37	BirdsBirdsBirdsBirds
112	Spectrogram 1	1	4855.041982573	4855.398364267	3878.788	4993.939	0.3564	1115.152	-76.74	Birds
