Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
56	Spectrogram 1	1	40408.169572738	40408.493363427	354.785	620.874	0.3238	266.089	-60.41	Domestic mammals
57	Spectrogram 1	1	40408.601293657	40408.851495553	354.785	546.961	0.2502	192.175	-57.25	Domestic mammals
58	Spectrogram 1	1	40409.008484978	40409.253780955	280.872	532.178	0.2453	251.306	-60.56	Domestic mammals
59	Spectrogram 1	1	40409.425488139	40409.611913081	369.568	517.395	0.1864	147.827	-58.60	Domestic mammals
60	Spectrogram 1	1	40413.093467586	40413.304422126	266.089	487.830	0.2110	221.741	-59.91	Domestic mammals
61	Spectrogram 1	1	40413.363293160	40413.603683218	310.437	576.526	0.2404	266.089	-62.08	Domestic mammals
62	Spectrogram 1	1	40413.770484482	40414.212017240	236.524	650.440	0.4415	413.916	-60.43	Domestic mammals
63	Spectrogram 1	1	40414.437689539	40414.712421033	295.654	532.178	0.2747	236.524	-57.59	Domestic mammals
64	Spectrogram 1	1	40414.913563734	40415.158859710	310.437	517.395	0.2453	206.958	-59.97	Domestic mammals
65	Spectrogram 1	1	40415.482650400	40415.664169422	206.958	532.178	0.1815	325.220	-63.42	Domestic mammals
66	Spectrogram 1	1	40416.154410342	40417.935259134	273.719	576.250	1.7808	302.531	-56.07	Domestic mammals
67	Spectrogram 1	1	40418.067718961	40418.676052983	302.531	605.063	0.6083	302.531	-59.99	Domestic mammals
68	Spectrogram 1	1	40423.186378616	40423.627911374	273.719	547.438	0.4415	273.719	-56.98	Domestic mammals
69	Spectrogram 1	1	40423.779994880	40424.054726374	273.719	605.063	0.2747	331.344	-56.19	Domestic mammals
70	Spectrogram 1	1	40424.177374362	40424.417764419	302.531	533.031	0.2404	230.500	-54.79	Domestic mammals
71	Spectrogram 1	1	40424.677778155	40424.864203097	288.125	504.219	0.1864	216.094	-59.16	Domestic mammals
72	Spectrogram 1	1	40425.099687235	40425.295924016	259.313	504.219	0.1962	244.906	-59.54	Domestic mammals
73	Spectrogram 1	1	40425.492160798	40425.732550855	259.313	605.063	0.2404	345.750	-61.45	Domestic mammals
74	Spectrogram 1	1	40428.774044576	40429.274448369	244.906	561.844	0.5004	316.938	-58.59	Domestic mammals
75	Spectrogram 1	1	40429.352943082	40429.666921932	216.094	518.625	0.3140	302.531	-55.47	Domestic mammals
76	Spectrogram 1	1	40429.799381759	40430.132984288	259.313	547.438	0.3336	288.125	-56.94	Domestic mammals
77	Spectrogram 1	1	40434.116835090	40434.671203997	273.719	605.063	0.5544	331.344	-57.84	Domestic mammals
78	Spectrogram 1	1	40434.808569744	40435.039147962	230.500	561.844	0.2306	331.344	-53.90	Domestic mammals
79	Spectrogram 1	1	40435.196137387	40435.534645835	259.313	576.250	0.3385	316.938	-57.07	Domestic mammals
80	Spectrogram 1	1	40439.617981825	40439.999979167	302.531	518.625	0.3820	216.094	-55.43	Domestic mammals
81	Spectrogram 1	1	40387.451389707	40387.858581028	6742.125	7217.531	0.4072	475.406	-70.80	Birds
82	Spectrogram 1	1	40388.476726890	40388.614092637	1959.250	3702.406	0.1374	1743.156	-71.14	Birds
83	Spectrogram 1	1	40388.677869591	40388.879012291	2910.063	5215.063	0.2011	2305.000	-73.26	Birds
84	Spectrogram 1	1	40391.269316016	40391.421399522	2362.625	3183.781	0.1521	821.156	-73.11	Birds
85	Spectrogram 1	1	40393.606460094	40394.028369174	6799.750	7260.750	0.4219	461.000	-71.09	Birds
86	Spectrogram 1	1	40409.389306412	40409.514190735	3270.219	3803.250	0.1249	533.031	-72.83	Birds
87	Spectrogram 1	1	40409.743145327	40409.874967668	2506.688	3327.844	0.1318	821.156	-72.58	Birds
88	Spectrogram 1	1	40409.694579201	40409.791711452	3558.344	4365.094	0.0971	806.750	-73.41	Birds
89	Spectrogram 1	1	40411.883482523	40411.925182839	2521.094	5085.406	0.0417	2564.313	-71.22	Birds
90	Spectrogram 1	1	40410.750215110	40410.789462467	2751.594	3817.656	0.0392	1066.063	-72.11	Birds
91	Spectrogram 1	1	40410.090368933	40410.232640599	3097.344	4235.438	0.1423	1138.094	-71.84	Birds
92	Spectrogram 1	1	40411.149749274	40411.198808469	9122.408	9972.377	0.0491	849.969	-71.83	Birds
93	Spectrogram 1	1	40416.033713060	40416.276556077	4019.344	4494.750	0.2428	475.406	-64.33	Birds
94	Spectrogram 1	1	40416.288820876	40416.499775416	2938.875	4537.969	0.2110	1599.094	-69.86	Birds
95	Spectrogram 1	1	40416.524305014	40416.661670761	4437.125	5416.750	0.1374	979.625	-64.38	Birds
96	Spectrogram 1	1	40416.656764841	40416.764695071	2852.438	4235.438	0.1079	1383.000	-63.57	Birds
97	Spectrogram 1	1	40416.774506910	40417.049238404	2247.375	5546.406	0.2747	3299.031	-68.45	Birds
98	Spectrogram 1	1	40416.892248979	40416.997726249	1469.438	2477.875	0.1055	1008.438	-67.66	Birds
99	Spectrogram 1	1	40417.039426565	40417.262645904	2722.781	3630.375	0.2232	907.594	-68.78	Birds
100	Spectrogram 1	1	40416.852621942	40417.316231338	6742.125	7159.906	0.4636	417.781	-70.15	Birds
101	Spectrogram 1	1	40418.059478148	40418.265526768	3587.156	4970.156	0.2060	1383.000	-64.29	Birds
102	Spectrogram 1	1	40417.713610821	40417.806823292	4811.688	5344.719	0.0932	533.031	-65.74	Birds
103	Spectrogram 1	1	40418.330834692	40418.691419778	2319.406	5964.188	0.3606	3644.781	-64.48	Birds
104	Spectrogram 1	1	40419.179558771	40419.206541329	4408.313	5993.000	0.0270	1584.688	-69.15	Birds
105	Spectrogram 1	1	40419.267865323	40419.302206760	4235.438	6007.406	0.0343	1771.969	-66.55	Birds
106	Spectrogram 1	1	40419.334095237	40419.363530754	3760.031	5719.281	0.0294	1959.250	-66.19	Birds
107	Spectrogram 1	1	40419.412589949	40419.454290265	3716.813	5402.344	0.0417	1685.531	-70.19	Birds
108	Spectrogram 1	1	40419.473913944	40419.503349461	4120.188	5186.250	0.0294	1066.063	-69.52	Birds
109	Spectrogram 1	1	40419.518067219	40419.567126415	4422.719	5604.031	0.0491	1181.313	-70.34	Birds
110	Spectrogram 1	1	40419.819184684	40419.897679396	3521.103	4531.256	0.0785	1010.153	-71.31	Birds
111	Spectrogram 1	1	40420.052215862	40420.162599051	3290.211	4949.747	0.1104	1659.536	-72.94	Birds
112	Spectrogram 1	1	40420.491295660	40420.557525574	3290.211	3824.149	0.0662	533.938	-65.28	Birds
113	Spectrogram 1	1	40421.694912479	40422.097197881	6537.130	7316.391	0.4023	779.261	-72.28	Birds
114	Spectrogram 1	1	40422.234563628	40422.347399777	3420.088	4098.333	0.1128	678.245	-69.48	Birds
115	Spectrogram 1	1	40422.587789834	40422.766855897	2366.643	3838.580	0.1791	1471.937	-71.28	Birds
116	Spectrogram 1	1	40423.563552549	40423.759789330	4199.348	5122.916	0.1962	923.568	-74.10	Birds
117	Spectrogram 1	1	40423.865266600	40423.978102750	4127.195	4993.040	0.1128	865.845	-72.81	Birds
118	Spectrogram 1	1	40425.201289027	40425.319031096	4733.286	5310.516	0.1177	577.230	-70.14	Birds
119	Spectrogram 1	1	40425.449037964	40425.686975061	2915.012	4502.394	0.2379	1587.383	-66.96	Birds
120	Spectrogram 1	1	40425.669804343	40425.794905291	2395.505	3131.473	0.1251	735.968	-69.12	Birds
121	Spectrogram 1	1	40425.775281613	40425.814528969	4401.379	5873.316	0.0392	1471.937	-71.43	Birds
122	Spectrogram 1	1	40425.885664802	40426.025483509	4112.764	6277.377	0.1398	2164.613	-68.83	Birds
123	Spectrogram 1	1	40426.025483509	40426.133413739	2352.212	4026.179	0.1079	1673.967	-67.20	Birds
124	Spectrogram 1	1	40426.041976297	40426.171983165	4848.732	5238.362	0.1300	389.630	-61.96	Birds
125	Spectrogram 1	1	40426.176889084	40426.419732101	2727.412	3232.488	0.2428	505.076	-64.33	Birds
126	Spectrogram 1	1	40426.360861067	40426.620874802	3492.242	5209.501	0.2600	1717.259	-64.89	Birds
127	Spectrogram 1	1	40425.990464142	40426.400108423	6638.145	7258.668	0.4096	620.522	-70.84	Birds
128	Spectrogram 1	1	40426.667481038	40427.013348365	2323.351	6118.638	0.3459	3795.287	-66.71	Birds
129	Spectrogram 1	1	40427.329020872	40427.358456389	4661.132	6840.176	0.0294	2179.043	-70.83	Birds
130	Spectrogram 1	1	40427.390344866	40427.414874464	4545.686	6551.561	0.0245	2005.874	-66.40	Birds
131	Spectrogram 1	1	40427.454121820	40427.481104378	4271.502	6436.115	0.0270	2164.613	-64.95	Birds
132	Spectrogram 1	1	40427.512992855	40427.542428372	4156.056	6147.500	0.0294	1991.444	-65.88	Birds
133	Spectrogram 1	1	40427.576769808	40427.606205326	4184.918	5902.177	0.0294	1717.259	-65.85	Birds
134	Spectrogram 1	1	40427.638093803	40427.667529320	4055.041	5801.162	0.0294	1746.121	-66.20	Birds
135	Spectrogram 1	1	40427.687152998	40427.723947395	4127.195	5454.824	0.0368	1327.629	-65.96	Birds
136	Spectrogram 1	1	40427.743571073	40427.763194751	4329.225	5368.239	0.0196	1039.014	-67.13	Birds
137	Spectrogram 1	1	40427.797536188	40427.829424665	4358.087	5757.870	0.0319	1399.783	-69.94	Birds
138	Spectrogram 1	1	40427.846595383	40427.876030900	4459.102	5916.608	0.0294	1457.506	-70.43	Birds
139	Spectrogram 1	1	40427.898107538	40427.925090095	4386.948	5815.593	0.0270	1428.644	-69.65	Birds
140	Spectrogram 1	1	40427.927543055	40427.979055210	3824.149	5180.639	0.0515	1356.491	-68.63	Birds
141	Spectrogram 1	1	40427.356003429	40427.476198458	2381.074	3347.934	0.1202	966.860	-71.52	Birds
142	Spectrogram 1	1	40429.702591061	40429.859580486	4083.902	4545.686	0.1570	461.784	-66.91	Birds
